dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.511161,18.555183,0.000030,0.002964,0.148196,7.409804,6.281029
0.020000,5.511141,18.555183,0.000050,0.001029,-0.096730,-12.246324,6.281047
0.020000,5.511094,18.555183,0.000097,0.002316,0.064334,8.053235,6.281089
0.020000,5.511012,18.555184,0.000179,0.004117,0.090074,1.286991,6.281162
0.020000,5.510883,18.555184,0.000308,0.006434,0.115823,1.287460,6.281276
0.020000,5.510698,18.555184,0.000493,0.009266,0.141588,1.288225,6.281441
0.020000,5.510446,18.555185,0.000745,0.012613,0.167375,1.289363,6.281665
0.020000,5.510116,18.555185,0.001075,0.016477,0.193194,1.290944,6.281958
0.020000,5.509699,18.555185,0.001492,0.020858,0.219055,1.293040,6.282329
0.020000,5.509184,18.555186,0.002007,0.025758,0.244969,1.295722,6.282787
0.020000,5.509569,18.555186,0.002392,0.019252,-0.325274,-28.512168,0.000156
0.020000,5.513096,18.555188,0.005919,0.176347,7.854724,408.999909,0.000816
0.020000,5.517232,18.555193,0.010055,0.206816,1.523479,-316.562259,0.001592
0.020000,5.522028,18.555202,0.014851,0.239793,1.648852,6.268673,0.002492
0.020000,5.527533,18.555219,0.020357,0.275278,1.774218,6.268298,0.003527
0.020000,5.533794,18.555245,0.026617,0.313017,1.886949,5.636526,0.004706
0.020000,5.540860,18.555283,0.033683,0.353298,2.014070,6.356048,0.006039
0.020000,5.548779,18.555336,0.041602,0.395953,2.132762,5.934626,0.007537
0.020000,5.557596,18.555410,0.050420,0.440910,2.247823,5.753035,0.009209
0.020000,5.567362,18.555509,0.060186,0.488295,2.369245,6.071119,0.011065
0.020000,5.578123,18.555639,0.070948,0.538080,2.489282,6.001851,0.013118
0.020000,5.589926,18.555808,0.082752,0.590235,2.607724,5.922081,0.015376
0.020000,5.602819,18.556022,0.095647,0.644722,2.724356,5.831603,0.017852
0.020000,5.616846,18.556291,0.109677,0.701501,2.838962,5.730297,0.020557
0.020000,5.632053,18.556626,0.124887,0.760528,2.951325,5.618143,0.023502
0.020000,5.648487,18.557039,0.141327,0.821958,3.071541,6.010819,0.026700
0.020000,5.666192,18.557542,0.159038,0.885590,3.181606,5.503257,0.030162
0.020000,5.685213,18.558152,0.178070,0.951563,3.298632,5.851259,0.033901
0.020000,5.705593,18.558884,0.198463,1.019656,3.404634,5.300123,0.037931
0.020000,5.727376,18.559758,0.220263,1.090014,3.517921,5.664335,0.042264
0.020000,5.750604,18.560794,0.243515,1.162573,3.627951,5.501492,0.046915
0.020000,5.775319,18.562016,0.268260,1.237264,3.734514,5.328187,0.051897
0.020000,5.801561,18.563449,0.294541,1.314043,3.838977,5.223132,0.057225
0.020000,5.829374,18.565122,0.322404,1.393154,3.955568,5.829541,0.062916
0.020000,5.858792,18.567065,0.351886,1.474119,4.048224,4.632832,0.068982
0.020000,5.889856,18.569312,0.383031,1.557229,4.155528,5.365153,0.075442
0.020000,5.922602,18.571900,0.415879,1.642430,4.260042,5.225743,0.082311
0.020000,5.957067,18.574870,0.450472,1.729634,4.360169,5.006330,0.089606
0.020000,5.993283,18.578265,0.486847,1.818752,4.455930,4.788058,0.097344
0.020000,6.031288,18.582133,0.525048,1.910034,4.564109,5.408946,0.105542
0.020000,6.071109,18.586526,0.565110,2.003130,4.654789,4.533984,0.114218
0.020000,6.112778,18.591499,0.607076,2.098270,4.756987,5.109922,0.123390
0.020000,6.156325,18.597114,0.650983,2.195366,4.854825,4.891911,0.133074
0.020000,6.201752,18.603431,0.696847,2.293180,4.890658,1.791643,0.143285
0.020000,6.249041,18.610513,0.744663,2.390809,4.881469,-0.459479,0.154027
0.020000,6.298167,18.618423,0.794422,2.487960,4.857544,-1.196233,0.165308
0.020000,6.349108,18.627231,0.846119,2.584863,4.845146,-0.619904,0.177131
0.020000,6.401842,18.637007,0.899751,2.681589,4.836309,-0.441846,0.189500
0.020000,6.456343,18.647826,0.955316,2.778245,4.832785,-0.176194,0.202417
0.020000,6.512587,18.659763,1.012813,2.874837,4.829614,-0.158579,0.215883
0.020000,6.570525,18.672895,1.072220,2.970354,4.775861,-2.687645,0.229889
0.020000,6.630085,18.687290,1.133495,3.063750,4.669767,-5.304687,0.244421
0.020000,6.691199,18.703021,1.196601,3.155326,4.578808,-4.547939,0.259461
0.020000,6.753795,18.720158,1.261501,3.244984,4.482891,-4.795870,0.274987
0.020000,6.817806,18.738771,1.328163,3.333108,4.406217,-3.833679,0.290975
0.020000,6.883164,18.758930,1.396559,3.419816,4.335402,-3.540743,0.307398
0.020000,6.949802,18.780704,1.466664,3.505249,4.271667,-3.186741,0.324224
0.020000,7.017657,18.804161,1.538459,3.589749,4.225004,-2.333173,0.341420
0.020000,7.086664,18.829365,1.611926,3.673305,4.177796,-2.360381,0.358947
0.020000,7.156763,18.856382,1.687050,3.756214,4.145454,-1.617137,0.376766
0.020000,7.227891,18.885272,1.763822,3.838607,4.119644,-1.290471,0.394832
0.020000,7.299993,18.916095,1.842235,3.920675,4.103373,-0.813567,0.413100
0.020000,7.373009,18.948907,1.922285,4.002477,4.090126,-0.662324,0.431519
0.020000,7.446885,18.983759,2.003969,4.084209,4.086610,-0.175843,0.450041
0.020000,7.521565,19.020699,2.087287,4.165870,4.083007,-0.180107,0.468612
0.020000,7.596998,19.059771,2.172238,4.247550,4.084031,0.051186,0.487181
0.020000,7.673130,19.101015,2.258823,4.329293,4.087145,0.155717,0.505692
0.020000,7.749911,19.144461,2.347044,4.411036,4.087162,0.000830,0.524094
