dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.508736,17.430186,0.000020,0.001991,0.099530,4.976487,6.281028
0.020000,5.508736,17.430186,0.000100,0.005972,0.199059,4.976487,6.281040
0.020000,5.508736,17.430186,0.000279,0.011944,0.298589,4.976487,6.281068
0.020000,5.508736,17.430186,0.000597,0.019906,0.398119,4.976487,6.281117
0.020000,5.508736,17.430186,0.001095,0.029859,0.497649,4.976487,6.281194
0.020000,5.508736,17.430186,0.001811,0.041802,0.597178,4.976487,6.281304
0.020000,5.508736,17.430186,0.002787,0.055737,0.696708,4.976487,6.281455
0.020000,5.508736,17.430186,0.004061,0.071661,0.796238,4.976487,6.281652
0.020000,5.508736,17.430186,0.005673,0.089577,0.895768,4.976487,6.281900
0.020000,5.508736,17.430186,0.007664,0.109483,0.995297,4.976487,6.282208
0.020000,5.508736,17.430186,0.010072,0.131379,1.094827,4.976487,6.282580
0.020000,5.508736,17.430186,0.012939,0.155266,1.194357,4.976487,6.283023
0.020000,5.511051,17.430186,0.016303,0.181144,1.293887,4.976487,0.000358
0.020000,5.514953,17.430189,0.020205,0.209012,1.393416,4.976487,0.000962
0.020000,5.519431,17.430195,0.024683,0.238871,1.492946,4.976487,0.001655
0.020000,5.524527,17.430205,0.029779,0.270721,1.592476,4.976487,0.002445
0.020000,5.530281,17.430222,0.035532,0.304561,1.692006,4.976487,0.003337
0.020000,5.536728,17.430247,0.041982,0.340392,1.791535,4.976487,0.004339
0.020000,5.543916,17.430282,0.049168,0.378213,1.891065,4.976487,0.005457
0.020000,5.551877,17.430330,0.057130,0.418025,1.990595,4.976487,0.006697
0.020000,5.560656,17.430395,0.065909,0.459827,2.090125,4.976487,0.008068
0.020000,5.570291,17.430480,0.075543,0.503621,2.189654,4.976487,0.009574
0.020000,5.580819,17.430589,0.086073,0.549404,2.289184,4.976487,0.011224
0.020000,5.592283,17.430728,0.097539,0.597178,2.388714,4.976487,0.013024
0.020000,5.604724,17.430903,0.109980,0.646943,2.488244,4.976487,0.014982
0.020000,5.618179,17.431118,0.123437,0.698699,2.587773,4.976487,0.017106
0.020000,5.632687,17.431383,0.137948,0.752445,2.687303,4.976487,0.019402
0.020000,5.648290,17.431705,0.153554,0.808182,2.786833,4.976487,0.021879
0.020000,5.665028,17.432094,0.170295,0.865909,2.886363,4.976487,0.024544
0.020000,5.682938,17.432559,0.188211,0.925627,2.985892,4.976487,0.027407
0.020000,5.702057,17.433113,0.207340,0.987335,3.085422,4.976487,0.030473
0.020000,5.722432,17.433767,0.227724,1.051034,3.184952,4.976487,0.033754
0.020000,5.744094,17.434537,0.249402,1.116724,3.284482,4.976487,0.037256
0.020000,5.767089,17.435437,0.272413,1.184404,3.384011,4.976487,0.040990
0.020000,5.791452,17.436484,0.296798,1.254075,3.483541,4.976487,0.044965
0.020000,5.817222,17.437698,0.322596,1.325736,3.583071,4.976487,0.049189
0.020000,5.844437,17.439099,0.349847,1.399388,3.682601,4.976487,0.053672
0.020000,5.873136,17.440709,0.378591,1.475031,3.782130,4.976487,0.058425
0.020000,5.903355,17.442553,0.408868,1.552664,3.881660,4.976487,0.063458
0.020000,5.935135,17.444658,0.440718,1.632288,3.981190,4.976487,0.068781
0.020000,5.968512,17.447051,0.474180,1.713902,4.080720,4.976487,0.074405
0.020000,6.003521,17.449765,0.509294,1.797507,4.180249,4.976487,0.080340
0.020000,6.040198,17.452834,0.546100,1.883103,4.279779,4.976487,0.086599
0.020000,6.078580,17.456293,0.584638,1.970689,4.379309,4.976487,0.093191
0.020000,6.118701,17.460183,0.624947,2.060266,4.478839,4.976487,0.100130
0.020000,6.160597,17.464547,0.667068,2.151833,4.578368,4.976487,0.107427
0.020000,6.204297,17.469429,0.711041,2.245391,4.677898,4.976487,0.115093
0.020000,6.249835,17.474879,0.756904,2.340940,4.777428,4.976487,0.123140
0.020000,6.297241,17.480949,0.804698,2.438479,4.876958,4.976487,0.131581
0.020000,6.346547,17.487696,0.854463,2.538009,4.976487,4.976487,0.140427
0.020000,6.397758,17.495177,0.906218,2.637538,4.976487,-0.000000,0.149686
0.020000,6.450863,17.503449,0.959964,2.737068,4.976487,0.000000,0.159362
0.020000,6.505849,17.512571,1.015701,2.836598,4.976487,0.000000,0.169460
0.020000,6.562695,17.522605,1.073428,2.936128,4.976487,-0.000000,0.179981
0.020000,6.621390,17.533617,1.133146,3.035657,4.976487,0.000000,0.190929
0.020000,6.681910,17.545671,1.194855,3.135187,4.976487,-0.000000,0.202304
0.020000,6.744213,17.558833,1.258534,3.232726,4.876958,-4.976487,0.214103
0.020000,6.808238,17.573164,1.324144,3.328275,4.777428,-4.976487,0.226317
0.020000,6.873921,17.588725,1.391645,3.421833,4.677898,-4.976487,0.238936
0.020000,6.941194,17.605577,1.460997,3.513400,4.578368,-4.976487,0.251950
0.020000,7.009989,17.623778,1.532161,3.602977,4.478839,-4.976487,0.265343
0.020000,7.080239,17.643388,1.605096,3.690563,4.379309,-4.976487,0.279102
0.020000,7.151869,17.664464,1.679764,3.776159,4.279779,-4.976487,0.293208
0.020000,7.224808,17.687060,1.756123,3.859764,4.180249,-4.976487,0.307644
0.020000,7.298979,17.711230,1.834134,3.941378,4.080720,-4.976487,0.322388
0.020000,7.374309,17.737024,1.913758,4.021002,3.981190,-4.976487,0.337416
0.020000,7.450718,17.764489,1.994954,4.098635,3.881660,-4.976487,0.352705
0.020000,7.528129,17.793669,2.077684,4.174278,3.782130,-4.976487,0.368227
0.020000,7.606464,17.824603,2.161906,4.247930,3.682601,-4.976487,0.383954
0.020000,7.685642,17.857327,2.247581,4.319591,3.583071,-4.976487,0.399856
0.020000,7.765585,17.891872,2.334669,4.389262,3.483541,-4.976487,0.415900
0.020000,7.846213,17.928265,2.423131,4.456942,3.384011,-4.976487,0.432054
0.020000,7.927448,17.966527,2.512927,4.522632,3.284482,-4.976487,0.448284
0.020000,8.009212,18.006674,2.604017,4.586331,3.184952,-4.976487,0.464554
0.020000,8.091428,18.048718,2.696360,4.648039,3.085422,-4.976487,0.480829
0.020000,8.174021,18.092663,2.789918,4.707757,2.985892,-4.976487,0.497074
0.020000,8.256919,18.138511,2.884651,4.765484,2.886363,-4.976487,0.513252
0.020000,8.340051,18.186254,2.980518,4.821221,2.786833,-4.976487,0.529328
0.020000,8.423348,18.235882,3.077480,4.874967,2.687303,-4.976487,0.545268
0.020000,8.506745,18.287380,3.175497,4.926723,2.587773,-4.976487,0.561036
0.020000,8.590181,18.340724,3.274529,4.976487,2.488244,-4.976487,0.576600
0.020000,8.673596,18.395889,3.374536,5.024262,2.388714,-4.976487,0.591929
0.020000,8.756936,18.452843,3.475479,5.070045,2.289184,-4.976487,0.606991
0.020000,8.840149,18.511550,3.577318,5.113839,2.189654,-4.976487,0.621760
0.020000,8.923188,18.571971,3.680013,5.155641,2.090125,-4.976487,0.636207
0.020000,9.006009,18.634060,3.783524,5.195453,1.990595,-4.976487,0.650309
0.020000,9.088572,18.697770,3.887811,5.233274,1.891065,-4.976487,0.664042
0.020000,9.170842,18.763050,3.992835,5.269105,1.791535,-4.976487,0.677386
0.020000,9.252787,18.829845,4.098555,5.302945,1.692006,-4.976487,0.690323
0.020000,9.334380,18.898100,4.204933,5.334795,1.592476,-4.976487,0.702835
0.020000,9.415595,18.967754,4.311927,5.364653,1.492946,-4.976487,0.714908
0.020000,9.496414,19.038746,4.419499,5.392522,1.393416,-4.976487,0.726530
0.020000,9.576818,19.111014,4.527608,5.418400,1.293887,-4.976487,0.737688
0.020000,9.656795,19.184492,4.636215,5.442287,1.194357,-4.976487,0.748376
0.020000,9.736334,19.259115,4.745280,5.464183,1.094827,-4.976487,0.758583
0.020000,9.815427,19.334816,4.854763,5.484089,0.995297,-4.976487,0.768306
0.020000,9.894070,19.411527,4.964624,5.502005,0.895768,-4.976487,0.777538
0.020000,9.972260,19.489181,5.074823,5.517929,0.796238,-4.976487,0.786277
0.020000,10.049999,19.567707,5.185321,5.531863,0.696708,-4.976487,0.794520
0.020000,10.127288,19.647039,5.296077,5.543807,0.597178,-4.976487,0.802266
0.020000,10.204131,19.727105,5.407053,5.553760,0.497649,-4.976487,0.809515
0.020000,10.280536,19.807837,5.518208,5.561722,0.398119,-4.976487,0.816266
0.020000,10.356509,19.889166,5.629502,5.567694,0.298589,-4.976487,0.822522
0.020000,10.432060,19.971024,5.740896,5.571675,0.199059,-4.976487,0.828284
0.020000,10.507198,20.053341,5.852349,5.573666,0.099530,-4.976487,0.833555
0.020000,10.581931,20.136046,5.963817,5.573142,-0.026210,-6.286998,0.838336
0.020000,10.656268,20.219066,6.075255,5.570627,-0.125740,-4.976487,0.842631
0.020000,10.730221,20.302334,6.186623,5.566122,-0.225270,-4.976487,0.846444
0.020000,10.803804,20.385784,6.297880,5.559626,-0.324799,-4.976487,0.849778
0.020000,10.877029,20.469348,6.408988,5.551139,-0.424329,-4.976487,0.852637
0.020000,10.949910,20.552961,6.519906,5.540662,-0.523859,-4.976487,0.855026
0.020000,11.022460,20.636558,6.630594,5.528194,-0.623389,-4.976487,0.856949
0.020000,11.094692,20.720074,6.741013,5.513736,-0.722918,-4.976487,0.858411
0.020000,11.166620,20.803445,6.851124,5.497287,-0.822448,-4.976487,0.859416
0.020000,11.238255,20.886607,6.960885,5.478847,-0.921978,-4.976487,0.859969
0.020000,11.309609,20.969499,7.070258,5.458417,-1.021508,-4.976487,0.860075
0.020000,11.380693,21.052057,7.179202,5.435996,-1.121037,-4.976487,0.859739
0.020000,11.451516,21.134222,7.287678,5.411585,-1.220567,-4.976487,0.858967
0.020000,11.522089,21.215931,7.395645,5.385183,-1.320097,-4.976487,0.857763
0.020000,11.592419,21.297127,7.503065,5.356790,-1.419627,-4.976487,0.856134
0.020000,11.662513,21.377749,7.609897,5.326407,-1.519156,-4.976487,0.854084
0.020000,11.732375,21.457741,7.716101,5.294034,-1.618686,-4.976487,0.851620
0.020000,11.802010,21.537044,7.821638,5.259669,-1.718216,-4.976487,0.848749
