dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.506579,16.430188,0.000029,0.002936,0.146798,7.339923,6.281029
0.020000,5.506598,16.430188,0.000047,0.000906,-0.101483,-12.414054,6.281047
0.020000,5.506638,16.430188,0.000088,0.002039,0.056647,7.906466,6.281088
0.020000,5.506711,16.430188,0.000161,0.003625,0.079311,1.133200,6.281161
0.020000,5.506824,16.430188,0.000274,0.005665,0.101983,1.133609,6.281274
0.020000,5.506987,16.430187,0.000437,0.008158,0.124668,1.134277,6.281437
0.020000,5.507209,16.430187,0.000659,0.011106,0.147374,1.135269,6.281659
0.020000,5.507500,16.430187,0.000950,0.014508,0.170107,1.136648,6.281949
0.020000,5.507867,16.430186,0.001317,0.018366,0.192876,1.138477,6.282317
0.020000,5.508320,16.430186,0.001770,0.022679,0.215693,1.140815,6.282770
0.020000,5.509737,16.430186,0.003187,0.070815,2.406756,109.553146,0.000134
0.020000,5.514621,16.430188,0.008070,0.244188,8.668665,313.095491,0.000788
0.020000,5.520350,16.430195,0.013800,0.286474,2.114329,-327.716833,0.001556
0.020000,5.526995,16.430208,0.020445,0.332259,2.289209,8.743996,0.002448
0.020000,5.534628,16.430231,0.028078,0.381623,2.468213,8.950212,0.003473
0.020000,5.543310,16.430266,0.036760,0.434128,2.625248,7.851744,0.004641
0.020000,5.553116,16.430318,0.046566,0.490317,2.809442,9.209693,0.005961
0.020000,5.564113,16.430392,0.057563,0.549825,2.975428,8.299318,0.007445
0.020000,5.576366,16.430493,0.069817,0.612689,3.143210,8.389120,0.009101
0.020000,5.589947,16.430629,0.083398,0.679076,3.319303,8.804617,0.010940
0.020000,5.604926,16.430808,0.098378,0.749001,3.496264,8.848076,0.012972
0.020000,5.621371,16.431040,0.114825,0.822334,3.666666,8.520087,0.015209
0.020000,5.639353,16.431336,0.132810,0.899231,3.844866,8.909999,0.017661
0.020000,5.658940,16.431708,0.152401,0.979555,4.016162,8.564782,0.020340
0.020000,5.680202,16.432171,0.173667,1.063307,4.187639,8.573870,0.023256
0.020000,5.703207,16.432743,0.196679,1.150605,4.364894,8.862748,0.026423
0.020000,5.728029,16.433441,0.221512,1.241630,4.551241,9.317366,0.029851
0.020000,5.754737,16.434288,0.248232,1.336035,4.720239,8.449898,0.033553
0.020000,5.783399,16.435308,0.276913,1.434013,4.898900,8.933049,0.037543
0.020000,5.814088,16.436526,0.307626,1.535675,5.083096,9.209786,0.041833
0.020000,5.846876,16.437974,0.340446,1.640982,5.265356,9.112980,0.046438
0.020000,5.881832,16.439685,0.375443,1.749891,5.445440,9.004222,0.051371
0.020000,5.919025,16.441696,0.412691,1.862353,5.623115,8.883738,0.056646
0.020000,5.958527,16.444047,0.452263,1.978644,5.814560,9.572281,0.062279
0.020000,6.000373,16.446783,0.494198,2.096736,5.904564,4.500206,0.068279
0.020000,6.044568,16.449946,0.538506,2.215415,5.933966,1.470073,0.074653
0.020000,6.091109,16.453585,0.585189,2.334144,5.936463,0.124839,0.081407
0.020000,6.139995,16.457749,0.634253,2.453172,5.951412,0.747476,0.088546
0.020000,6.191231,16.462492,0.685708,2.572746,5.978659,1.362323,0.096078
0.020000,6.244808,16.467870,0.739554,2.692296,5.977503,-0.057778,0.104006
0.020000,6.300727,16.473942,0.795801,2.812369,6.003691,1.309412,0.112337
0.020000,6.358979,16.480771,0.854453,2.932577,6.010394,0.335114,0.121078
0.020000,6.419561,16.488424,0.915515,3.053138,6.028056,0.883124,0.130233
0.020000,6.482462,16.496968,0.978994,3.173949,6.040516,0.622973,0.139808
0.020000,6.547670,16.506477,1.044892,3.294905,6.047838,0.366140,0.149807
0.020000,6.615176,16.517026,1.113218,3.416261,6.067763,0.996215,0.160234
0.020000,6.684959,16.528693,1.183969,3.537553,6.064611,-0.157589,0.171092
0.020000,6.757001,16.541560,1.257151,3.659102,6.077441,0.641491,0.182385
0.020000,6.831280,16.555710,1.332766,3.780766,6.083217,0.288796,0.194114
0.020000,6.907770,16.571231,1.410814,3.902407,6.082055,-0.058084,0.206279
0.020000,6.986436,16.588209,1.491292,4.023889,6.074109,-0.397308,0.218878
0.020000,7.067248,16.606739,1.574201,4.145439,6.077502,0.169684,0.231911
0.020000,7.150162,16.626909,1.659533,4.266638,6.059927,-0.878762,0.245372
0.020000,7.235136,16.648816,1.747286,4.387602,6.048182,-0.587284,0.259256
0.020000,7.322118,16.672553,1.837449,4.508153,6.027551,-1.031536,0.273554
0.020000,7.411054,16.698213,1.930012,4.628172,6.000977,-1.328700,0.288257
0.020000,7.501883,16.725893,2.024965,4.747672,5.975002,-1.298728,0.303353
0.020000,7.594538,16.755685,2.122292,4.866333,5.933045,-2.097885,0.318826
0.020000,7.688947,16.787679,2.221975,4.984121,5.889380,-2.183223,0.334658
0.020000,7.785031,16.821964,2.323992,5.100887,5.838313,-2.553346,0.350830
0.020000,7.882708,16.858628,2.428323,5.216551,5.783190,-2.756156,0.367317
0.020000,7.981888,16.897749,2.534940,5.330858,5.715339,-3.392536,0.384096
0.020000,8.082447,16.939393,2.643782,5.442056,5.559925,-7.770734,0.401130
0.020000,8.184224,16.983600,2.754745,5.548158,5.305088,-12.741825,0.418379
0.020000,8.287057,17.030401,2.867727,5.649116,5.047934,-12.857698,0.435797
0.020000,8.390786,17.079817,2.982625,5.744905,4.789413,-12.926056,0.453339
0.020000,8.495248,17.131855,3.099331,5.835297,4.519608,-13.490265,0.470958
0.020000,8.600287,17.186512,3.217739,5.920411,4.255702,-13.195289,0.488605
0.020000,8.705745,17.243775,3.337741,6.000096,3.984237,-13.573272,0.506232
0.020000,8.811473,17.303616,3.459229,6.074407,3.715578,-13.432932,0.523788
0.020000,8.917326,17.365997,3.582096,6.143354,3.447337,-13.412069,0.541226
0.020000,9.023165,17.430872,3.706236,6.206986,3.181602,-13.286731,0.558498
0.020000,9.128860,17.498182,3.831543,6.265366,2.918995,-13.130356,0.575558
0.020000,9.234287,17.567858,3.957915,6.318567,2.660037,-12.947871,0.592361
0.020000,9.339334,17.639824,4.085249,6.366712,2.407260,-12.638876,0.608864
0.020000,9.443896,17.713997,4.213447,6.409911,2.159935,-12.366243,0.625027
0.020000,9.547879,17.790285,4.342413,6.448298,1.919381,-12.027715,0.640812
0.020000,9.651198,17.868591,4.472054,6.482018,1.685982,-11.669946,0.656186
0.020000,9.753778,17.948813,4.602278,6.511218,1.459997,-11.299253,0.671116
0.020000,9.855555,18.030846,4.732999,6.536051,1.241680,-10.915844,0.685574
0.020000,9.956474,18.114580,4.864132,6.556673,1.031098,-10.529105,0.699534
0.020000,10.056488,18.199903,4.995597,6.573215,0.827080,-10.200882,0.712973
0.020000,10.155560,18.286703,5.127314,6.585859,0.632182,-9.744909,0.725873
0.020000,10.253660,18.374865,5.259209,6.594735,0.443847,-9.416740,0.738216
0.020000,10.350767,18.464274,5.391207,6.599940,0.260204,-9.182157,0.749987
0.020000,10.446866,18.554815,5.523241,6.601668,0.086424,-8.688991,0.761177
0.020000,10.541948,18.646375,5.655240,6.599969,-0.084950,-8.568699,0.771775
0.020000,10.636012,18.738839,5.787140,6.595006,-0.248151,-8.160035,0.781774
0.020000,10.729059,18.832096,5.918877,6.586822,-0.409216,-8.053258,0.791169
0.020000,10.821097,18.926033,6.050388,6.575565,-0.562837,-7.681075,0.799957
0.020000,10.912136,19.020542,6.181613,6.561237,-0.716375,-7.676886,0.808136
0.020000,11.002191,19.115514,6.312493,6.543989,-0.862414,-7.301942,0.815705
0.020000,11.091277,19.210843,6.442969,6.523815,-1.008705,-7.314569,0.822665
