dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.683316,3.189791,0.000020,0.002000,0.100000,5.000000,0.000756
0.020000,7.683323,3.189791,0.000028,0.000375,-0.081240,-9.062018,0.000749
0.020000,7.683340,3.189791,0.000044,0.000844,0.023445,5.234253,0.000732
0.020000,7.683370,3.189791,0.000074,0.001500,0.032809,0.468215,0.000702
0.020000,7.683417,3.189791,0.000121,0.002343,0.042153,0.467175,0.000655
0.020000,7.683484,3.189791,0.000189,0.003373,0.051462,0.465471,0.000588
0.020000,7.683576,3.189791,0.000280,0.004587,0.060721,0.462939,0.000496
0.020000,7.683696,3.189791,0.000400,0.005985,0.069909,0.459414,0.000376
0.020000,7.683847,3.189791,0.000551,0.007565,0.079004,0.454734,0.000225
0.020000,7.684034,3.189791,0.000738,0.009325,0.087978,0.448735,0.000038
0.020000,7.686265,3.189791,0.002970,0.111587,5.113108,251.256461,6.282999
0.020000,7.689413,3.189790,0.006117,0.157362,2.288778,-141.216490,6.282731
0.020000,7.693106,3.189788,0.009810,0.184662,1.364999,-46.188947,6.282418
0.020000,7.697387,3.189784,0.014091,0.214057,1.469734,5.236764,6.282057
0.020000,7.702301,3.189777,0.019005,0.245689,1.581598,5.593206,6.281643
0.020000,7.707889,3.189767,0.024593,0.279397,1.685391,5.189640,6.281175
0.020000,7.714195,3.189753,0.030899,0.315291,1.794705,5.465703,6.280649
0.020000,7.721261,3.189733,0.037965,0.353313,1.901109,5.320171,6.280063
0.020000,7.729130,3.189706,0.045834,0.393446,2.006653,5.277218,6.279414
0.020000,7.737843,3.189670,0.054548,0.435683,2.111832,5.258932,6.278701
0.020000,7.747443,3.189623,0.064148,0.480015,2.216622,5.239513,6.277920
0.020000,7.757972,3.189563,0.074677,0.526435,2.320999,5.218865,6.277072
0.020000,7.769470,3.189487,0.086175,0.574934,2.424937,5.196885,6.276153
0.020000,7.781980,3.189393,0.098685,0.625493,2.527935,5.149910,6.275163
0.020000,7.795540,3.189277,0.112246,0.678037,2.627229,4.964717,6.274102
0.020000,7.810193,3.189136,0.126899,0.732651,2.730708,5.173910,6.272969
0.020000,7.825977,3.188965,0.142684,0.789248,2.829811,4.955188,6.271765
0.020000,7.842931,3.188760,0.159640,0.847796,2.927392,4.879058,6.270489
0.020000,7.861096,3.188518,0.177806,0.908315,3.025948,4.927761,6.269142
0.020000,7.880509,3.188231,0.197221,0.970741,3.121319,4.768553,6.267727
0.020000,7.901208,3.187896,0.217923,1.035093,3.217582,4.813157,6.266245
0.020000,7.923231,3.187506,0.239950,1.101337,3.312199,4.730874,6.264699
0.020000,7.946614,3.187054,0.263337,1.169380,3.402196,4.499810,6.263091
0.020000,7.971394,3.186536,0.288123,1.239281,3.495040,4.642227,6.261425
0.020000,7.997607,3.185943,0.314342,1.310967,3.584305,4.463255,6.259706
0.020000,8.025287,3.185268,0.342030,1.384412,3.672228,4.396132,6.257938
0.020000,8.054469,3.184504,0.371222,1.459595,3.759164,4.346798,6.256126
0.020000,8.085186,3.183644,0.401951,1.536430,3.841735,4.128548,6.254277
0.020000,8.117471,3.182680,0.434250,1.614979,3.927449,4.285726,6.252398
0.020000,8.151356,3.181604,0.468153,1.695129,4.007485,4.001779,6.250496
0.020000,8.186873,3.180409,0.503690,1.776858,4.086468,3.949141,6.248578
0.020000,8.224053,3.179085,0.540893,1.860143,4.164272,3.890214,6.246655
0.020000,8.262924,3.177627,0.579792,1.944958,4.240750,3.823896,6.244736
0.020000,8.303517,3.176026,0.620417,2.031221,4.313125,3.618737,6.242832
0.020000,8.345860,3.174277,0.662795,2.118931,4.385499,3.618737,6.240953
0.020000,8.389979,3.172371,0.706956,2.208019,4.454399,3.444995,6.239113
0.020000,8.435902,3.170304,0.752925,2.298454,4.521736,3.366846,6.237324
0.020000,8.483653,3.168071,0.800728,2.390176,4.586108,3.218590,6.235600
