dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.684072,2.189791,0.000020,0.002000,0.100000,5.000000,0.000756
0.020000,7.684072,2.189791,0.000100,0.006000,0.200000,5.000000,0.000749
0.020000,7.684072,2.189791,0.000280,0.012000,0.300000,5.000000,0.000732
0.020000,7.684072,2.189791,0.000600,0.020000,0.400000,5.000000,0.000702
0.020000,7.684072,2.189791,0.001100,0.030000,0.500000,5.000000,0.000655
0.020000,7.684072,2.189791,0.001820,0.042000,0.600000,5.000000,0.000588
0.020000,7.684072,2.189791,0.002800,0.056000,0.700000,5.000000,0.000496
0.020000,7.684072,2.189791,0.004080,0.072000,0.800000,5.000000,0.000376
0.020000,7.684072,2.189791,0.005700,0.090000,0.900000,5.000000,0.000225
0.020000,7.684072,2.189791,0.007700,0.110000,1.000000,5.000000,0.000038
0.020000,7.686079,2.189791,0.010120,0.132000,1.100000,5.000000,6.282999
0.020000,7.688959,2.189790,0.013000,0.156000,1.200000,5.000000,6.282731
0.020000,7.692339,2.189788,0.016380,0.182000,1.300000,5.000000,6.282418
0.020000,7.696259,2.189784,0.020300,0.210000,1.400000,5.000000,6.282057
0.020000,7.700759,2.189778,0.024800,0.240000,1.500000,5.000000,6.281643
0.020000,7.705879,2.189769,0.029920,0.272000,1.600000,5.000000,6.281175
0.020000,7.711659,2.189756,0.035700,0.306000,1.700000,5.000000,6.280649
0.020000,7.718139,2.189738,0.042180,0.342000,1.800000,5.000000,6.280063
0.020000,7.725359,2.189713,0.049400,0.380000,1.900000,5.000000,6.279414
0.020000,7.733359,2.189680,0.057400,0.420000,2.000000,5.000000,6.278701
0.020000,7.742179,2.189637,0.066220,0.462000,2.100000,5.000000,6.277920
0.020000,7.751858,2.189582,0.075900,0.506000,2.200000,5.000000,6.277072
0.020000,7.762438,2.189512,0.086480,0.552000,2.300000,5.000000,6.276153
0.020000,7.773958,2.189425,0.098000,0.600000,2.400000,5.000000,6.275163
0.020000,7.786457,2.189318,0.110500,0.650000,2.500000,5.000000,6.274102
0.020000,7.799977,2.189188,0.124020,0.702000,2.600000,5.000000,6.272969
0.020000,7.814556,2.189030,0.138600,0.756000,2.700000,5.000000,6.271765
0.020000,7.830235,2.188841,0.154280,0.812000,2.800000,5.000000,6.270489
0.020000,7.847053,2.188616,0.171100,0.870000,2.900000,5.000000,6.269142
0.020000,7.865051,2.188351,0.189100,0.930000,3.000000,5.000000,6.267727
0.020000,7.884269,2.188039,0.208320,0.992000,3.100000,5.000000,6.266245
0.020000,7.904746,2.187676,0.228800,1.056000,3.200000,5.000000,6.264699
0.020000,7.926521,2.187256,0.250580,1.122000,3.300000,5.000000,6.263091
0.020000,7.949636,2.186772,0.273700,1.190000,3.400000,5.000000,6.261425
0.020000,7.974130,2.186218,0.298200,1.260000,3.500000,5.000000,6.259706
0.020000,8.000042,2.185587,0.324120,1.332000,3.600000,5.000000,6.257938
0.020000,8.027413,2.184870,0.351500,1.406000,3.700000,5.000000,6.256126
0.020000,8.056282,2.184062,0.380380,1.482000,3.800000,5.000000,6.254277
0.020000,8.086688,2.183154,0.410800,1.560000,3.900000,5.000000,6.252398
0.020000,8.118672,2.182139,0.442800,1.640000,4.000000,5.000000,6.250496
0.020000,8.152273,2.181007,0.476420,1.722000,4.100000,5.000000,6.248578
0.020000,8.187531,2.179752,0.511700,1.806000,4.200000,5.000000,6.246655
0.020000,8.224485,2.178366,0.548680,1.892000,4.300000,5.000000,6.244736
0.020000,8.263175,2.176841,0.587400,1.980000,4.400000,5.000000,6.242832
0.020000,8.303640,2.175168,0.627900,2.070000,4.500000,5.000000,6.240953
0.020000,8.345921,2.173342,0.670220,2.162000,4.600000,5.000000,6.239113
0.020000,8.390056,2.171356,0.714400,2.256000,4.700000,5.000000,6.237324
0.020000,8.436086,2.169203,0.760480,2.352000,4.800000,5.000000,6.235600
0.020000,8.484050,2.166879,0.808500,2.450000,4.900000,5.000000,6.233957
0.020000,8.533987,2.164379,0.858500,2.550000,5.000000,5.000000,6.232411
0.020000,8.585918,2.161702,0.910500,2.650000,5.000000,0.000000,6.230979
0.020000,8.639843,2.158848,0.964500,2.750000,5.000000,-0.000000,6.229681
0.020000,8.695761,2.155820,1.020500,2.850000,5.000000,0.000000,6.228536
0.020000,8.753673,2.152623,1.078500,2.950000,5.000000,0.000000,6.227565
0.020000,8.813579,2.149263,1.138500,3.050000,5.000000,0.000000,6.226789
0.020000,8.875479,2.145750,1.200500,3.150000,5.000000,0.000000,6.226229
0.020000,8.939375,2.142095,1.264500,3.250000,5.000000,0.000000,6.225910
0.020000,9.005266,2.138314,1.330500,3.350000,5.000000,0.000000,6.225855
0.020000,9.073155,2.134424,1.398500,3.450000,5.000000,-0.000000,6.226088
0.020000,9.143042,2.130446,1.468500,3.550000,5.000000,0.000000,6.226638
0.020000,9.214928,2.126407,1.540500,3.650000,5.000000,0.000000,6.227531
0.020000,9.288816,2.122336,1.614500,3.750000,5.000000,0.000000,6.228797
