dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.684829,1.189791,0.000020,0.002000,0.100000,5.000000,0.000756
0.020000,7.684821,1.189791,0.000028,0.000375,-0.081240,-9.062018,0.000749
0.020000,7.684804,1.189791,0.000044,0.000844,0.023445,5.234253,0.000732
0.020000,7.684774,1.189791,0.000074,0.001500,0.032809,0.468215,0.000702
0.020000,7.684727,1.189791,0.000121,0.002343,0.042153,0.467175,0.000655
0.020000,7.684660,1.189791,0.000189,0.003373,0.051462,0.465471,0.000588
0.020000,7.684568,1.189791,0.000280,0.004587,0.060721,0.462939,0.000496
0.020000,7.684448,1.189791,0.000400,0.005985,0.069909,0.459414,0.000376
0.020000,7.684297,1.189791,0.000551,0.007565,0.079004,0.454734,0.000225
0.020000,7.684111,1.189791,0.000738,0.009325,0.087978,0.448735,0.000038
0.020000,7.685892,1.189791,0.002519,0.089069,3.987217,194.961926,6.282999
0.020000,7.688505,1.189790,0.005132,0.130629,2.077969,-95.462404,6.282731
0.020000,7.691572,1.189788,0.008199,0.153375,1.137333,-47.031802,6.282418
0.020000,7.695130,1.189785,0.011757,0.177904,1.226431,4.454895,6.282057
0.020000,7.699217,1.189779,0.015844,0.204344,1.322028,4.779855,6.281643
0.020000,7.703869,1.189771,0.020496,0.232576,1.411575,4.477383,6.281175
0.020000,7.709123,1.189759,0.025750,0.262705,1.506466,4.744543,6.280649
0.020000,7.715017,1.189742,0.031644,0.294701,1.599782,4.665799,6.280063
0.020000,7.721588,1.189720,0.038215,0.328567,1.693326,4.677195,6.279414
0.020000,7.728874,1.189690,0.045502,0.364320,1.787611,4.714265,6.278701
0.020000,7.736914,1.189651,0.053541,0.401974,1.882726,4.755735,6.277920
0.020000,7.745744,1.189600,0.062372,0.441549,1.978760,4.801704,6.277072
0.020000,7.755406,1.189537,0.072034,0.483065,2.075805,4.852248,6.276153
0.020000,7.765936,1.189457,0.082564,0.526537,2.173557,4.887569,6.275163
0.020000,7.777374,1.189360,0.094003,0.571932,2.269795,4.811934,6.274102
0.020000,7.789761,1.189240,0.106390,0.619358,2.371287,5.074579,6.272969
0.020000,7.803136,1.189095,0.119766,0.668777,2.470937,4.982519,6.271765
0.020000,7.817539,1.188922,0.134170,0.720202,2.571256,5.015946,6.270489
0.020000,7.833011,1.188715,0.149643,0.773692,2.674484,5.161381,6.269142
0.020000,7.849594,1.188470,0.166228,0.829236,2.777204,5.135998,6.267727
0.020000,7.867330,1.188183,0.183966,0.886896,2.883004,5.290015,6.266245
0.020000,7.886260,1.187847,0.202900,0.946693,2.989842,5.341902,6.264699
0.020000,7.906429,1.187458,0.223072,1.008598,3.095256,5.270681,6.263091
0.020000,7.927878,1.187009,0.244526,1.072713,3.205782,5.526335,6.261425
0.020000,7.950653,1.186494,0.267307,1.139034,3.316002,5.511001,6.259706
0.020000,7.974798,1.185905,0.291459,1.207592,3.427944,5.597085,6.257938
0.020000,8.000358,1.185237,0.317027,1.278433,3.542029,5.704222,6.256126
0.020000,8.027378,1.184480,0.344058,1.351541,3.655394,5.668271,6.254277
0.020000,8.055906,1.183628,0.372599,1.427036,3.774741,5.967359,6.252398
0.020000,8.085988,1.182673,0.402697,1.504884,3.892424,5.884127,6.250496
0.020000,8.117673,1.181606,0.434399,1.585136,4.012605,6.009082,6.248578
0.020000,8.151009,1.180420,0.467756,1.667842,4.135300,6.134754,6.246655
0.020000,8.186045,1.179105,0.502817,1.753052,4.260509,6.260438,6.244736
0.020000,8.222832,1.177655,0.539633,1.840769,4.385850,6.267047,6.242832
0.020000,8.261421,1.176060,0.578254,1.931073,4.515158,6.465374,6.240953
0.020000,8.301863,1.174313,0.618734,2.023981,4.645442,6.514226,6.239113
0.020000,8.344211,1.172407,0.661125,2.119554,4.778606,6.658218,6.237324
0.020000,8.388519,1.170335,0.705481,2.217825,4.913557,6.747512,6.235600
0.020000,8.434842,1.168090,0.751858,2.318860,5.051783,6.911324,6.233957
0.020000,8.483235,1.165668,0.800312,2.422690,5.191504,6.986049,6.232411
0.020000,8.533736,1.163064,0.850880,2.528409,5.285919,4.720759,6.230979
0.020000,8.586364,1.160279,0.903582,2.635090,5.334075,2.407767,6.229681
0.020000,8.641139,1.157313,0.958437,2.742755,5.383231,2.457818,6.228536
0.020000,8.698081,1.154170,1.015466,2.851442,5.434330,2.554949,6.227565
0.020000,8.757212,1.150853,1.074690,2.961186,5.487238,2.645407,6.226789
0.020000,8.818554,1.147372,1.136131,3.072036,5.542478,2.762003,6.226229
0.020000,8.882131,1.143735,1.199811,3.184031,5.599770,2.864611,6.225910
0.020000,8.947967,1.139957,1.265756,3.297230,5.659949,3.008928,6.225855
0.020000,9.016089,1.136053,1.333990,3.411688,5.722892,3.147136,6.226088
0.020000,9.086524,1.132045,1.404539,3.527471,5.789123,3.311581,6.226638
0.020000,9.159303,1.127956,1.477432,3.644655,5.859213,3.504491,6.227531
0.020000,9.234455,1.123814,1.552698,3.763319,5.933227,3.700700,6.228797
0.020000,9.312015,1.119654,1.630370,3.883568,6.012426,3.959947,6.230468
0.020000,9.392018,1.115515,1.710480,4.005502,6.096700,4.213674,6.232578
0.020000,9.474502,1.111441,1.793065,4.129239,6.186846,4.507344,6.235163
0.020000,9.559509,1.107485,1.878163,4.254928,6.284483,4.881846,6.238262
0.020000,9.647082,1.103705,1.965818,4.382735,6.390327,5.292171,6.241917
0.020000,9.737269,1.100169,2.056074,4.512825,6.504515,5.709415,6.246173
0.020000,9.830121,1.096955,2.148982,4.645378,6.627659,6.157198,6.251081
0.020000,9.925693,1.094150,2.244596,4.780677,6.764904,6.862265,6.256695
