dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.456350,17.963912,0.000020,0.001990,0.099508,4.975411,0.046582
0.020000,5.456352,17.963912,0.000021,0.000065,-0.096274,-9.789105,0.046580
0.020000,5.456354,17.963912,0.000024,0.000146,0.004043,5.015833,0.046578
0.020000,5.456360,17.963912,0.000029,0.000259,0.005660,0.080836,0.046573
0.020000,5.456368,17.963913,0.000037,0.000404,0.007276,0.080805,0.046566
0.020000,5.456379,17.963913,0.000049,0.000582,0.008891,0.080754,0.046556
0.020000,5.456395,17.963914,0.000065,0.000792,0.010504,0.080679,0.046542
0.020000,5.456416,17.963915,0.000086,0.001034,0.012116,0.080575,0.046523
0.020000,5.456442,17.963916,0.000112,0.001309,0.013724,0.080436,0.046500
0.020000,5.456952,17.963940,0.000623,0.025546,1.211865,59.907047,0.046471
0.020000,5.459397,17.964053,0.003070,0.122359,4.840648,181.439114,0.046436
0.020000,5.462306,17.964189,0.005982,0.145616,1.162862,-183.889267,0.046395
0.020000,5.465720,17.964347,0.009400,0.170896,1.263971,5.055437,0.046347
0.020000,5.469680,17.964531,0.013364,0.198197,1.365054,5.054165,0.046290
0.020000,5.474226,17.964741,0.017914,0.227520,1.466142,5.054358,0.046226
0.020000,5.479397,17.964980,0.023092,0.258864,1.567201,5.052968,0.046153
0.020000,5.485236,17.965249,0.028936,0.292229,1.668267,5.053327,0.046070
0.020000,5.491781,17.965551,0.035489,0.327615,1.769316,5.052406,0.045977
0.020000,5.499074,17.965886,0.042789,0.365022,1.870338,5.051145,0.045874
0.020000,5.507154,17.966257,0.050878,0.404449,1.971352,5.050655,0.045760
0.020000,5.516063,17.966664,0.059796,0.445896,2.072354,5.050133,0.045635
0.020000,5.525840,17.967110,0.069583,0.489363,2.173323,5.048437,0.045497
0.020000,5.536526,17.967595,0.080280,0.534848,2.274264,5.047051,0.045347
0.020000,5.548161,17.968122,0.091927,0.582352,2.375214,5.047494,0.045184
0.020000,5.560786,17.968692,0.104565,0.631874,2.476092,5.043917,0.045007
0.020000,5.574440,17.969306,0.118233,0.683414,2.576969,5.043824,0.044816
0.020000,5.589165,17.969965,0.132972,0.736970,2.677810,5.042058,0.044610
0.020000,5.605000,17.970670,0.148823,0.792542,2.778613,5.040148,0.044390
0.020000,5.621986,17.971422,0.165826,0.850130,2.879375,5.038089,0.044154
0.020000,5.640163,17.972223,0.184020,0.909732,2.980103,5.036422,0.043902
0.020000,5.659571,17.973073,0.203447,0.971347,3.080788,5.034243,0.043634
0.020000,5.680251,17.973973,0.224147,1.034976,3.181429,5.032041,0.043350
0.020000,5.702243,17.974924,0.246159,1.100616,3.282012,5.029149,0.043048
0.020000,5.725587,17.975926,0.269525,1.168267,3.382548,5.026829,0.042729
0.020000,5.750323,17.976979,0.294283,1.237928,3.483040,5.024599,0.042392
0.020000,5.776492,17.978084,0.320475,1.309597,3.583450,5.020474,0.042037
0.020000,5.804133,17.979242,0.348141,1.383273,3.683824,5.018712,0.041664
0.020000,5.833287,17.980451,0.377320,1.458956,3.784110,5.014300,0.041271
0.020000,5.863994,17.981713,0.408052,1.536642,3.884336,5.011307,0.040860
0.020000,5.896294,17.983027,0.440379,1.616332,3.984499,5.008135,0.040430
0.020000,5.930227,17.984392,0.474340,1.698024,4.084560,5.003039,0.039981
0.020000,5.965833,17.985808,0.509974,1.781715,4.184571,5.000553,0.039511
0.020000,6.003152,17.987274,0.547322,1.867404,4.284469,4.994917,0.039023
0.020000,6.042225,17.988789,0.586424,1.955090,4.384300,4.991568,0.038514
0.020000,6.083090,17.990353,0.627319,2.044771,4.484011,4.985542,0.037985
0.020000,6.125789,17.991964,0.670048,2.136444,4.583657,4.982287,0.037437
0.020000,6.170360,17.993621,0.714650,2.230107,4.683172,4.975756,0.036869
0.020000,6.216844,17.995322,0.761165,2.325759,4.782602,4.971490,0.036280
0.020000,6.265281,17.997065,0.809633,2.423397,4.881896,4.964693,0.035672
0.020000,6.315710,17.998849,0.860094,2.523019,4.981100,4.960197,0.035044
0.020000,6.368150,18.000670,0.912566,2.623613,5.029714,2.430720,0.034397
0.020000,6.422602,18.002526,0.967049,2.724169,5.027789,-0.096264,0.033732
0.020000,6.479064,18.004412,1.023543,2.824685,5.025786,-0.100119,0.033048
0.020000,6.537536,18.006324,1.082046,2.925159,5.023713,-0.103660,0.032347
0.020000,6.598017,18.008260,1.142558,3.025590,5.021562,-0.107536,0.031630
0.020000,6.660506,18.010214,1.205078,3.125977,5.019340,-0.111136,0.030897
0.020000,6.725002,18.012183,1.269604,3.226318,5.017038,-0.115102,0.030149
0.020000,6.791505,18.014163,1.336136,3.326611,5.014666,-0.118592,0.029388
0.020000,6.860013,18.016151,1.404673,3.426856,5.012213,-0.122626,0.028613
0.020000,6.930526,18.018141,1.475214,3.527049,5.009692,-0.126088,0.027826
0.020000,7.003043,18.020130,1.547758,3.627191,5.007090,-0.130082,0.027028
0.020000,7.077562,18.022115,1.622304,3.727279,5.004416,-0.133696,0.026220
0.020000,7.154083,18.024090,1.698850,3.827313,5.001667,-0.137441,0.025402
0.020000,7.232604,18.026053,1.777396,3.927290,4.998842,-0.141259,0.024576
0.020000,7.313125,18.027998,1.857940,4.027209,4.995945,-0.144836,0.023742
0.020000,7.395643,18.029923,1.940481,4.127068,4.992970,-0.148761,0.022903
0.020000,7.480159,18.031823,2.025019,4.226866,4.989920,-0.152529,0.022058
0.020000,7.566671,18.033695,2.111551,4.326602,4.986798,-0.156068,0.021209
0.020000,7.655178,18.035534,2.200076,4.426274,4.983601,-0.159884,0.020357
0.020000,7.745677,18.037338,2.290594,4.525881,4.980326,-0.163713,0.019504
0.020000,7.838169,18.039103,2.383102,4.625420,4.976980,-0.167326,0.018650
0.020000,7.932651,18.040824,2.477600,4.724892,4.973558,-0.171103,0.017796
0.020000,8.029122,18.042500,2.574086,4.824293,4.970062,-0.174807,0.016945
0.020000,8.127581,18.044127,2.672558,4.923623,4.966492,-0.178497,0.016096
0.020000,8.228027,18.045701,2.773016,5.022880,4.962846,-0.182264,0.015252
0.020000,8.330457,18.047220,2.875457,5.122062,4.959128,-0.185930,0.014414
0.020000,8.434870,18.048682,2.979881,5.221169,4.955335,-0.189654,0.013583
0.020000,8.541264,18.050083,3.086284,5.320198,4.951468,-0.193348,0.012761
0.020000,8.649639,18.051422,3.194667,5.419149,4.947527,-0.197043,0.011948
0.020000,8.759992,18.052696,3.305028,5.518019,4.943512,-0.200735,0.011147
