dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.508736,17.430186,0.000020,0.001992,0.099609,4.980452,0.028951
0.020000,5.508736,17.430186,0.000100,0.005977,0.199218,4.980452,0.028956
0.020000,5.508736,17.430186,0.000279,0.011953,0.298827,4.980452,0.028968
0.020000,5.508736,17.430186,0.000598,0.019922,0.398436,4.980452,0.028988
0.020000,5.508736,17.430186,0.001096,0.029883,0.498045,4.980452,0.029020
0.020000,5.508736,17.430186,0.001813,0.041836,0.597654,4.980452,0.029066
0.020000,5.508736,17.430186,0.002789,0.055781,0.697263,4.980452,0.029129
0.020000,5.508736,17.430186,0.004064,0.071719,0.796872,4.980452,0.029211
0.020000,5.508736,17.430186,0.005678,0.089648,0.896481,4.980452,0.029314
0.020000,5.509334,17.430203,0.007670,0.109570,0.996090,4.980452,0.029442
0.020000,5.511744,17.430275,0.010080,0.131484,1.095699,4.980452,0.029596
0.020000,5.514611,17.430360,0.012949,0.155390,1.195308,4.980452,0.029780
0.020000,5.517976,17.430460,0.016316,0.181288,1.294917,4.980452,0.029995
0.020000,5.521879,17.430578,0.020221,0.209179,1.394526,4.980452,0.030244
0.020000,5.526360,17.430714,0.024703,0.239062,1.494136,4.980452,0.030531
0.020000,5.531457,17.430871,0.029803,0.270937,1.593745,4.980452,0.030856
0.020000,5.537212,17.431049,0.035560,0.304804,1.693354,4.980452,0.031223
0.020000,5.543663,17.431252,0.042015,0.340663,1.792963,4.980452,0.031633
0.020000,5.550851,17.431481,0.049207,0.378514,1.892572,4.980452,0.032090
0.020000,5.558816,17.431739,0.057176,0.418358,1.992181,4.980452,0.032595
0.020000,5.567597,17.432028,0.065961,0.460194,2.091790,4.980452,0.033151
0.020000,5.577233,17.432350,0.075603,0.504022,2.191399,4.980452,0.033760
0.020000,5.587766,17.432709,0.086142,0.549842,2.291008,4.980452,0.034424
0.020000,5.599234,17.433109,0.097617,0.597654,2.390617,4.980452,0.035145
0.020000,5.611677,17.433551,0.110068,0.647459,2.490226,4.980452,0.035925
0.020000,5.625135,17.434040,0.123535,0.699255,2.589835,4.980452,0.036766
0.020000,5.639648,17.434581,0.138058,0.753044,2.689444,4.980452,0.037671
0.020000,5.655256,17.435176,0.153677,0.808825,2.789053,4.980452,0.038640
0.020000,5.671997,17.435832,0.170431,0.866599,2.888662,4.980452,0.039675
0.020000,5.689912,17.436553,0.188361,0.926364,2.988271,4.980452,0.040779
0.020000,5.709041,17.437345,0.207506,0.988122,3.087880,4.980452,0.041952
0.020000,5.729422,17.438213,0.227905,1.051871,3.187489,4.980452,0.043196
0.020000,5.751096,17.439165,0.249600,1.117613,3.287098,4.980452,0.044512
0.020000,5.774102,17.440205,0.272630,1.185348,3.386707,4.980452,0.045902
0.020000,5.798480,17.441343,0.297034,1.255074,3.486316,4.980452,0.047366
0.020000,5.824269,17.442585,0.322853,1.326792,3.585925,4.980452,0.048905
0.020000,5.851508,17.443941,0.350126,1.400503,3.685534,4.980452,0.050520
0.020000,5.880237,17.445418,0.378893,1.476206,3.785143,4.980452,0.052212
0.020000,5.910495,17.447026,0.409194,1.553901,3.884752,4.980452,0.053980
0.020000,5.942322,17.448775,0.441069,1.633588,3.984361,4.980452,0.055825
0.020000,5.975757,17.450676,0.474557,1.715268,4.083970,4.980452,0.057747
0.020000,6.010838,17.452739,0.509699,1.798939,4.183579,4.980452,0.059746
0.020000,6.047606,17.454977,0.546535,1.884603,4.283189,4.980452,0.061821
0.020000,6.086098,17.457401,0.585103,1.972259,4.382798,4.980452,0.063971
0.020000,6.126354,17.460025,0.625445,2.061907,4.482407,4.980452,0.066196
0.020000,6.168413,17.462862,0.667600,2.153547,4.582016,4.980452,0.068495
0.020000,6.212314,17.465926,0.711607,2.247180,4.681625,4.980452,0.070865
0.020000,6.258094,17.469232,0.757507,2.342805,4.781234,4.980452,0.073306
0.020000,6.305794,17.472795,0.805339,2.440421,4.880843,4.980452,0.075814
0.020000,6.355450,17.476631,0.855144,2.540030,4.980452,4.980452,0.078389
0.020000,6.407082,17.480756,0.906940,2.639639,4.980452,0.000000,0.081026
0.020000,6.460689,17.485181,0.960729,2.739248,4.980452,-0.000000,0.083720
0.020000,6.516268,17.489923,1.016510,2.838857,4.980452,0.000000,0.086466
0.020000,6.573818,17.494992,1.074283,2.938467,4.980452,-0.000000,0.089259
0.020000,6.633338,17.500405,1.134049,3.038076,4.980452,0.000000,0.092094
0.020000,6.694826,17.506173,1.195806,3.137685,4.980452,-0.000000,0.094964
0.020000,6.758279,17.512310,1.259556,3.237294,4.980452,0.000000,0.097864
0.020000,6.823697,17.518829,1.325298,3.336903,4.980452,-0.000000,0.100787
0.020000,6.891078,17.525744,1.393032,3.436512,4.980452,0.000000,0.103728
0.020000,6.960418,17.533066,1.462759,3.536121,4.980452,0.000000,0.106679
0.020000,7.031718,17.540809,1.534477,3.635730,4.980452,-0.000000,0.109635
0.020000,7.104974,17.548982,1.608188,3.735339,4.980452,0.000000,0.112587
0.020000,7.180185,17.557599,1.683891,3.834948,4.980452,-0.000000,0.115530
0.020000,7.257348,17.566668,1.761586,3.934557,4.980452,0.000000,0.118455
0.020000,7.336463,17.576201,1.841273,4.034166,4.980452,-0.000000,0.121356
0.020000,7.417528,17.586206,1.922952,4.133775,4.980452,0.000000,0.124224
0.020000,7.500540,17.596691,2.006624,4.233384,4.980452,0.000000,0.127051
0.020000,7.585498,17.607665,2.092288,4.332993,4.980452,0.000000,0.129831
0.020000,7.672400,17.619132,2.179944,4.432602,4.980452,-0.000000,0.132553
0.020000,7.761246,17.631100,2.269592,4.532211,4.980452,0.000000,0.135211
0.020000,7.852034,17.643571,2.361232,4.631820,4.980452,0.000000,0.137795
0.020000,7.944762,17.656550,2.454865,4.731429,4.980452,-0.000000,0.140297
0.020000,8.039431,17.670037,2.550489,4.831038,4.980452,-0.000000,0.142708
0.020000,8.136039,17.684033,2.648106,4.930647,4.980452,0.000000,0.145018
0.020000,8.234587,17.698537,2.747715,5.030256,4.980452,0.000000,0.147218
0.020000,8.335073,17.713547,2.849316,5.129865,4.980452,-0.000000,0.149300
0.020000,8.437499,17.729057,2.952910,5.229474,4.980452,0.000000,0.151252
0.020000,8.541864,17.745063,3.058495,5.329083,4.980452,0.000000,0.153066
0.020000,8.648170,17.761555,3.166073,5.428692,4.980452,0.000000,0.154732
0.020000,8.756418,17.778525,3.275643,5.528301,4.980452,0.000000,0.156238
0.020000,8.866609,17.795960,3.387205,5.627910,4.980452,0.000000,0.157576
0.020000,8.978746,17.813846,3.500760,5.727520,4.980452,0.000000,0.158734
