dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.541797,16.305672,0.000030,0.003000,0.150000,7.500000,0.029393
0.020000,5.541798,16.305672,0.000030,0.000011,-0.149440,-14.972021,0.029393
0.020000,5.541798,16.305672,0.000031,0.000025,0.000700,7.507006,0.029393
0.020000,5.541799,16.305672,0.000032,0.000045,0.000980,0.014025,0.029394
0.020000,5.541800,16.305672,0.000033,0.000070,0.001262,0.014073,0.029395
0.020000,5.541802,16.305672,0.000035,0.000101,0.001545,0.014151,0.029397
0.020000,5.541805,16.305672,0.000038,0.000138,0.001830,0.014268,0.029399
0.020000,5.541809,16.305672,0.000041,0.000180,0.002119,0.014430,0.029403
0.020000,5.543864,16.305733,0.002098,0.102822,5.132096,256.498853,0.029407
0.020000,5.546869,16.305821,0.005103,0.150282,2.373026,-137.953496,0.029412
0.020000,5.550504,16.305928,0.008740,0.181843,1.578015,-39.750516,0.029418
0.020000,5.554830,16.306055,0.013069,0.216409,1.728329,7.515663,0.029425
0.020000,5.559908,16.306205,0.018148,0.253982,1.878654,7.516241,0.029434
0.020000,5.565796,16.306378,0.024039,0.294562,2.028989,7.516754,0.029444
0.020000,5.572556,16.306577,0.030802,0.338149,2.179338,7.517491,0.029455
0.020000,5.580248,16.306804,0.038497,0.384743,2.329704,7.518287,0.029468
0.020000,5.588931,16.307060,0.047184,0.434345,2.480089,7.519229,0.029483
0.020000,5.598666,16.307347,0.056923,0.486955,2.630493,7.520224,0.029500
0.020000,5.609513,16.307667,0.067775,0.542573,2.780922,7.521424,0.029519
0.020000,5.621531,16.308022,0.079799,0.601200,2.931376,7.522711,0.029541
0.020000,5.634782,16.308414,0.093055,0.662838,3.081860,7.524184,0.029565
0.020000,5.649326,16.308844,0.107605,0.727485,3.232375,7.525772,0.029591
0.020000,5.665222,16.309315,0.123508,0.795144,3.382925,7.527517,0.029620
0.020000,5.682530,16.309828,0.140824,0.865814,3.533516,7.529522,0.029652
0.020000,5.701312,16.310386,0.159614,0.939497,3.684146,7.531531,0.029688
0.020000,5.721627,16.310989,0.179938,1.016193,3.834824,7.533879,0.029727
0.020000,5.743535,16.311641,0.201856,1.095904,3.985551,7.536333,0.029770
0.020000,5.767097,16.312343,0.225429,1.178631,4.136332,7.539081,0.029816
0.020000,5.792374,16.313098,0.250716,1.264374,4.287169,7.541856,0.029868
0.020000,5.819424,16.313907,0.277779,1.353136,4.438070,7.545024,0.029923
0.020000,5.848310,16.314772,0.306677,1.444917,4.589036,7.548322,0.029984
0.020000,5.879090,16.315697,0.337472,1.539718,4.740074,7.551907,0.030050
0.020000,5.911826,16.316682,0.370223,1.637542,4.891187,7.555637,0.030122
0.020000,5.946578,16.317730,0.404990,1.738389,5.042381,7.559703,0.030200
0.020000,5.983407,16.318844,0.441836,1.842263,5.193661,7.563968,0.030285
0.020000,6.022372,16.320027,0.480819,1.949163,5.345031,7.568519,0.030377
0.020000,6.063535,16.321279,0.522001,2.059093,5.496497,7.573316,0.030476
0.020000,6.106956,16.322605,0.565442,2.172055,5.648066,7.578415,0.030584
0.020000,6.152695,16.324007,0.611203,2.288049,5.799741,7.583759,0.030700
0.020000,6.200814,16.325488,0.659344,2.407080,5.951529,7.589434,0.030826
0.020000,6.251373,16.327051,0.709927,2.529149,6.103437,7.595356,0.030962
0.020000,6.304432,16.328698,0.763013,2.654258,6.255470,7.601678,0.031109
0.020000,6.360053,16.330433,0.818661,2.782411,6.407634,7.608189,0.031267
0.020000,6.418297,16.332260,0.876933,2.913609,6.559936,7.615086,0.031438
0.020000,6.479224,16.334181,0.937890,3.047857,6.712382,7.622311,0.031622
0.020000,6.542895,16.336202,1.001593,3.185157,6.864981,7.629941,0.031820
0.020000,6.609371,16.338325,1.068103,3.325511,7.017735,7.637712,0.032034
0.020000,6.678714,16.340555,1.137482,3.468925,7.170657,7.646100,0.032264
