dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.537868,18.429761,0.000029,0.002938,0.146898,7.344909,6.254049
0.020000,5.537874,18.429761,0.000035,0.000284,-0.132673,-13.978576,6.254043
0.020000,5.537887,18.429761,0.000048,0.000640,0.017779,7.522629,6.254030
0.020000,5.537909,18.429760,0.000071,0.001138,0.024886,0.355333,6.254007
0.020000,5.537945,18.429759,0.000106,0.001777,0.031985,0.354947,6.253972
0.020000,5.537996,18.429758,0.000157,0.002559,0.039071,0.354314,6.253921
0.020000,5.538066,18.429756,0.000227,0.003482,0.046139,0.353374,6.253851
0.020000,5.538611,18.429740,0.000772,0.027271,1.189488,57.167451,6.253760
0.020000,5.541105,18.429666,0.003267,0.124737,4.873276,184.189423,6.253645
0.020000,5.544183,18.429575,0.006347,0.153990,1.462639,-170.531838,6.253503
0.020000,5.547908,18.429464,0.010073,0.186320,1.616534,7.694747,6.253332
0.020000,5.552340,18.429331,0.014508,0.221725,1.770212,7.683864,6.253128
0.020000,5.557542,18.429174,0.019712,0.260202,1.923880,7.683416,6.252889
0.020000,5.563574,18.428991,0.025747,0.301751,2.077451,7.678579,6.252612
0.020000,5.570498,18.428778,0.032674,0.346369,2.230898,7.672308,6.252295
0.020000,5.578376,18.428533,0.040555,0.394053,2.384198,7.665022,6.251936
0.020000,5.587267,18.428253,0.049451,0.444802,2.537435,7.661827,6.251530
0.020000,5.597234,18.427935,0.059424,0.498609,2.690368,7.646697,6.251077
0.020000,5.608338,18.427576,0.070533,0.555474,2.843223,7.642711,6.250574
0.020000,5.620639,18.427171,0.082841,0.615391,2.995842,7.630949,6.250018
0.020000,5.634199,18.426717,0.096408,0.678355,3.148199,7.617851,6.249407
0.020000,5.649077,18.426209,0.111295,0.744360,3.300293,7.604723,6.248740
0.020000,5.665335,18.425643,0.127563,0.813403,3.452151,7.592884,6.248013
0.020000,5.683034,18.425013,0.145273,0.885477,3.603659,7.575399,6.247226
0.020000,5.702232,18.424315,0.164484,0.960574,3.754857,7.559885,6.246377
0.020000,5.722992,18.423541,0.185258,1.038686,3.905598,7.537093,6.245464
0.020000,5.745372,18.422685,0.207654,1.119807,4.056046,7.522376,6.244486
0.020000,5.769432,18.421741,0.231733,1.203926,4.205965,7.495945,6.243441
0.020000,5.795231,18.420700,0.257553,1.291036,4.355493,7.476399,6.242328
0.020000,5.822830,18.419556,0.285176,1.381124,4.504420,7.446359,6.241148
0.020000,5.852287,18.418298,0.314659,1.474182,4.652886,7.423318,6.239898
0.020000,5.883660,18.416919,0.346063,1.570196,4.800714,7.391390,6.238579
0.020000,5.917009,18.415407,0.379446,1.669155,4.947940,7.361276,6.237190
0.020000,5.952392,18.413752,0.414867,1.771045,5.094486,7.327300,6.235732
0.020000,5.989834,18.411946,0.452354,1.874320,5.163779,3.464644,6.234206
0.020000,6.029334,18.409978,0.491903,1.977440,5.155986,-0.389639,6.232616
0.020000,6.070887,18.407840,0.533510,2.080395,5.147746,-0.411981,6.230964
0.020000,6.114489,18.405524,0.577174,2.183175,5.139023,-0.436143,6.229255
0.020000,6.160136,18.403019,0.622889,2.285773,5.129885,-0.456937,6.227491
0.020000,6.207823,18.400317,0.670653,2.388179,5.120275,-0.480476,6.225678
0.020000,6.257546,18.397408,0.720461,2.490384,5.110251,-0.501185,6.223817
0.020000,6.309299,18.394282,0.772308,2.592378,5.099725,-0.526299,6.221915
0.020000,6.363078,18.390931,0.826191,2.694154,5.088780,-0.547273,6.219975
0.020000,6.418876,18.387343,0.882105,2.795701,5.077383,-0.569835,6.218002
0.020000,6.476690,18.383511,0.940046,2.897012,5.065523,-0.592996,6.216001
0.020000,6.536512,18.379425,1.000007,2.998076,5.053233,-0.614526,6.213976
0.020000,6.598337,18.375076,1.061985,3.098886,5.040462,-0.638542,6.211933
0.020000,6.662158,18.370454,1.125973,3.199431,5.027271,-0.659529,6.209876
0.020000,6.727970,18.365552,1.191968,3.299703,5.013618,-0.682657,6.207812
0.020000,6.795766,18.360362,1.259961,3.399694,4.999533,-0.704271,6.205746
0.020000,6.865538,18.354875,1.329949,3.499394,4.984997,-0.726800,6.203684
0.020000,6.937281,18.349085,1.401925,3.598794,4.970012,-0.749227,6.201632
0.020000,7.010986,18.342985,1.475883,3.697886,4.954600,-0.770621,6.199595
0.020000,7.086648,18.336568,1.551816,3.796661,4.938744,-0.792810,6.197581
0.020000,7.164258,18.329830,1.629718,3.895110,4.922451,-0.814645,6.195596
0.020000,7.243810,18.322766,1.709583,3.993225,4.905727,-0.836176,6.193646
0.020000,7.325295,18.315371,1.791403,4.090996,4.888569,-0.857914,6.191739
0.020000,7.408706,18.307643,1.875171,4.188416,4.870982,-0.879356,6.189881
0.020000,7.494035,18.299580,1.960881,4.285475,4.852965,-0.900832,6.188080
0.020000,7.581275,18.291181,2.048524,4.382166,4.834522,-0.922153,6.186343
0.020000,7.670418,18.282445,2.138093,4.478479,4.815650,-0.943592,6.184677
0.020000,7.761455,18.273374,2.229582,4.574406,4.796352,-0.964921,6.183090
0.020000,7.854379,18.263970,2.322980,4.669938,4.776633,-0.985927,6.181591
0.020000,7.949182,18.254237,2.418282,4.765068,4.756482,-1.007550,6.180187
0.020000,8.045856,18.244180,2.515477,4.859786,4.735908,-1.028722,6.178887
0.020000,8.144393,18.233805,2.614559,4.954084,4.714906,-1.050087,6.177698
0.020000,8.244785,18.223120,2.715518,5.047954,4.693473,-1.071661,6.176629
0.020000,8.347025,18.212135,2.818346,5.141386,4.671608,-1.093264,6.175690
0.020000,8.451103,18.200860,2.923033,5.234372,4.649313,-1.114723,6.174889
0.020000,8.557013,18.189309,3.029571,5.326904,4.626575,-1.136901,6.174235
0.020000,8.664747,18.177496,3.137951,5.418972,4.603401,-1.158725,6.173738
0.020000,8.774297,18.165438,3.248162,5.510567,4.579779,-1.181072,6.173406
0.020000,8.885655,18.153153,3.360196,5.601681,4.555711,-1.203393,6.173250
0.020000,8.998814,18.140663,3.474042,5.692305,4.531190,-1.226051,6.173280
0.020000,9.113766,18.127989,3.589690,5.782429,4.506214,-1.248806,6.173505
0.020000,9.230503,18.115157,3.707131,5.872045,4.480779,-1.271773,6.173935
0.020000,9.349019,18.102194,3.826354,5.961143,4.454883,-1.294771,6.174581
0.020000,9.469306,18.089129,3.947348,6.049713,4.428524,-1.317980,6.175453
0.020000,9.591357,18.075995,4.070103,6.137747,4.401702,-1.341087,6.176563
0.020000,9.715163,18.062827,4.194608,6.225236,4.374424,-1.363897,6.177920
0.020000,9.840718,18.049662,4.320852,6.312169,4.346685,-1.386961,6.179537
0.020000,9.968014,18.036539,4.448822,6.398539,4.318504,-1.409059,6.181424
0.020000,10.097044,18.023502,4.578509,6.484337,4.289884,-1.430977,6.183593
0.020000,10.227800,18.010596,4.709900,6.569554,4.260850,-1.451702,6.186056
0.020000,10.360273,17.997870,4.842984,6.654182,4.231415,-1.471740,6.188824
0.020000,10.494457,17.985376,4.977748,6.738215,4.201619,-1.489808,6.191909
0.020000,10.630343,17.973169,5.114181,6.821645,4.171491,-1.506419,6.195323
0.020000,10.767922,17.961307,5.252270,6.904466,4.141081,-1.520498,6.199078
0.020000,10.907185,17.949850,5.392004,6.986675,4.110446,-1.531740,6.203187
0.020000,11.048123,17.938865,5.533369,7.068268,4.079655,-1.539535,6.207662
0.020000,11.183573,17.928883,5.669187,6.790899,-13.868479,-897.406736,6.211311
0.020000,11.329642,17.918618,5.815616,7.321429,26.526532,2019.750584,6.214719
0.020000,11.477833,17.908704,5.964138,7.426125,5.234760,-1064.588603,6.218030
0.020000,11.628151,17.899140,6.114760,7.531111,5.249330,0.728475,6.221239
0.020000,11.780601,17.889924,6.267488,7.636392,5.264058,0.736431,6.224341
0.020000,11.935186,17.881051,6.422328,7.741970,5.278900,0.742076,6.227329
0.020000,12.091882,17.872517,6.579256,7.846405,5.221730,-2.858495,6.230197
0.020000,12.250635,17.864317,6.738221,7.948248,5.092156,-6.478681,6.232937
0.020000,12.411392,17.856445,6.899171,8.047490,4.962121,-6.501760,6.235544
0.020000,12.574099,17.848891,7.062053,8.144122,4.831604,-6.525860,6.238010
0.020000,12.738703,17.841643,7.226816,8.238134,4.700593,-6.550530,6.240329
0.020000,12.905148,17.834689,7.393406,8.329516,4.569074,-6.575957,6.242495
0.020000,13.073380,17.828011,7.561771,8.418257,4.437038,-6.601798,6.244503
0.020000,13.243346,17.821593,7.731858,8.504346,4.304473,-6.628237,6.246345
0.020000,13.414990,17.815413,7.903614,8.587773,4.171366,-6.655374,6.248018
0.020000,13.588258,17.809450,8.076984,8.668528,4.037715,-6.682572,6.249515
0.020000,13.763095,17.803679,8.251916,8.746598,3.903510,-6.710249,6.250831
