dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.508736,17.430186,0.000029,0.002938,0.146898,7.344909,6.254049
0.020000,5.508736,17.430186,0.000147,0.008814,0.293796,7.344909,6.254043
0.020000,5.508736,17.430186,0.000411,0.017628,0.440695,7.344909,6.254030
0.020000,5.508736,17.430186,0.000881,0.029380,0.587593,7.344909,6.254007
0.020000,5.508736,17.430186,0.001616,0.044069,0.734491,7.344909,6.253972
0.020000,5.508736,17.430186,0.002674,0.061697,0.881389,7.344909,6.253921
0.020000,5.508736,17.430186,0.004113,0.082263,1.028287,7.344909,6.253851
0.020000,5.509190,17.430173,0.005993,0.105767,1.175185,7.344909,6.253760
0.020000,5.511569,17.430102,0.008373,0.132208,1.322084,7.344909,6.253645
0.020000,5.514505,17.430015,0.011311,0.161588,1.468982,7.344909,6.253503
0.020000,5.518059,17.429910,0.014866,0.193906,1.615880,7.344909,6.253332
0.020000,5.522287,17.429783,0.019097,0.229161,1.762778,7.344909,6.253128
0.020000,5.527250,17.429633,0.024062,0.267355,1.909676,7.344909,6.252889
0.020000,5.533006,17.429458,0.029820,0.308486,2.056574,7.344909,6.252612
0.020000,5.539613,17.429255,0.036431,0.352556,2.203473,7.344909,6.252295
0.020000,5.547131,17.429021,0.043952,0.399563,2.350371,7.344909,6.251936
0.020000,5.555617,17.428754,0.052443,0.449508,2.497269,7.344909,6.251530
0.020000,5.565132,17.428451,0.061962,0.502392,2.644167,7.344909,6.251077
0.020000,5.575732,17.428107,0.072568,0.558213,2.791065,7.344909,6.250574
0.020000,5.587478,17.427721,0.084320,0.616972,2.937963,7.344909,6.250018
0.020000,5.600427,17.427287,0.097276,0.678670,3.084862,7.344909,6.249407
0.020000,5.614638,17.426802,0.111496,0.743305,3.231760,7.344909,6.248740
0.020000,5.630171,17.426262,0.127038,0.810878,3.378658,7.344909,6.248013
0.020000,5.647083,17.425660,0.143960,0.881389,3.525556,7.344909,6.247226
0.020000,5.665433,17.424992,0.162322,0.954838,3.672454,7.344909,6.246377
0.020000,5.685280,17.424252,0.182183,1.031225,3.819352,7.344909,6.245464
0.020000,5.706682,17.423434,0.203601,1.110550,3.966251,7.344909,6.244486
0.020000,5.729698,17.422531,0.226635,1.192813,4.113149,7.344909,6.243441
0.020000,5.754386,17.421535,0.251343,1.278014,4.260047,7.344909,6.242328
0.020000,5.780805,17.420439,0.277784,1.366153,4.406945,7.344909,6.241148
0.020000,5.809013,17.419235,0.306018,1.457230,4.553843,7.344909,6.239898
0.020000,5.839069,17.417913,0.336103,1.551245,4.700742,7.344909,6.238579
0.020000,5.871030,17.416465,0.368097,1.648197,4.847640,7.344909,6.237190
0.020000,5.904956,17.414878,0.402060,1.748088,4.994538,7.344909,6.235732
0.020000,5.940875,17.413145,0.438021,1.847979,4.994538,-0.000000,6.234206
0.020000,5.978786,17.411256,0.475979,1.947870,4.994538,0.000000,6.232616
0.020000,6.018690,17.409204,0.515936,2.047761,4.994538,0.000000,6.230964
