dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.479603,16.430610,0.000029,0.002938,0.146898,7.344909,6.254049
0.020000,5.479597,16.430610,0.000035,0.000284,-0.132673,-13.978576,6.254043
0.020000,5.479584,16.430611,0.000048,0.000640,0.017779,7.522629,6.254030
0.020000,5.479562,16.430612,0.000071,0.001138,0.024886,0.355333,6.254007
0.020000,5.479526,16.430613,0.000106,0.001777,0.031985,0.354947,6.253972
0.020000,5.479475,16.430614,0.000157,0.002559,0.039071,0.354314,6.253921
0.020000,5.479405,16.430616,0.000227,0.003482,0.046139,0.353374,6.253851
0.020000,5.479769,16.430605,0.000591,0.018181,0.734958,34.440970,6.253760
0.020000,5.482033,16.430539,0.002855,0.113239,4.752900,200.897086,6.253645
0.020000,5.484828,16.430456,0.005651,0.139806,1.328341,-171.227928,6.253503
0.020000,5.488210,16.430355,0.009035,0.169174,1.468412,7.003552,6.253332
0.020000,5.492235,16.430235,0.013062,0.201342,1.608414,7.000110,6.253128
0.020000,5.496959,16.430092,0.017788,0.236313,1.748563,7.007427,6.252889
0.020000,5.502438,16.429925,0.023270,0.274090,1.888806,7.012163,6.252612
0.020000,5.508728,16.429732,0.029563,0.314673,2.029149,7.017121,6.252295
0.020000,5.515886,16.429509,0.036725,0.358065,2.169605,7.022800,6.251936
0.020000,5.523968,16.429255,0.044810,0.404270,2.310284,7.033964,6.251530
0.020000,5.533029,16.428966,0.053876,0.453290,2.451007,7.036168,6.251077
0.020000,5.543126,16.428639,0.063978,0.505131,2.592017,7.050511,6.250574
0.020000,5.554316,16.428271,0.075174,0.559795,2.733216,7.059924,6.250018
0.020000,5.566655,16.427858,0.087520,0.617288,2.874624,7.070380,6.249407
0.020000,5.580199,16.427396,0.101072,0.677613,3.016287,7.083198,6.248740
0.020000,5.595006,16.426880,0.115888,0.740779,3.158282,7.099706,6.248013
0.020000,5.611131,16.426306,0.132024,0.806790,3.300556,7.113721,6.247226
0.020000,5.628633,16.425669,0.149537,0.875654,3.443202,7.132310,6.246377
0.020000,5.647567,16.424963,0.168484,0.947377,3.586146,7.147173,6.245464
0.020000,5.667992,16.424182,0.188924,1.021969,3.729595,7.172443,6.244486
0.020000,5.689964,16.423320,0.210913,1.099437,3.873399,7.190206,6.243441
0.020000,5.713540,16.422370,0.234508,1.179792,4.017750,7.217565,6.242328
0.020000,5.738779,16.421323,0.259769,1.263042,4.162526,7.238789,6.241148
0.020000,5.765739,16.420172,0.286753,1.349201,4.307926,7.269994,6.239898
0.020000,5.794477,16.418908,0.315519,1.438278,4.453861,7.296795,6.238579
0.020000,5.825051,16.417522,0.346125,1.530287,4.600444,7.329111,6.237190
0.020000,5.857520,16.416004,0.378629,1.625241,4.747681,7.361883,6.235732
0.020000,5.891915,16.414344,0.413064,1.721746,4.825280,3.879944,6.234206
0.020000,5.928238,16.412535,0.449432,1.818408,4.833094,0.390678,6.232616
0.020000,5.966493,16.410567,0.487737,1.915235,4.841355,0.413062,6.230964
0.020000,6.006681,16.408432,0.527982,2.012236,4.850033,0.433878,6.229255
0.020000,6.048806,16.406120,0.570170,2.109420,4.859190,0.457889,6.227491
0.020000,6.092871,16.403623,0.614306,2.206795,4.868779,0.479447,6.225678
0.020000,6.138880,16.400931,0.660394,2.304372,4.878853,0.503673,6.223817
0.020000,6.186835,16.398035,0.708437,2.402159,4.889330,0.523860,6.221915
0.020000,6.236742,16.394925,0.758440,2.500165,4.900288,0.547884,6.219975
0.020000,6.288603,16.391591,0.810408,2.598399,4.911696,0.570429,6.218002
0.020000,6.342422,16.388023,0.864345,2.696870,4.923544,0.592379,6.216001
0.020000,6.398204,16.384213,0.920257,2.795587,4.935859,0.615784,6.213976
0.020000,6.455952,16.380150,0.978148,2.894559,4.948595,0.636788,6.211933
0.020000,6.515672,16.375826,1.038024,2.993795,4.961805,0.660509,6.209876
0.020000,6.577367,16.371231,1.099890,3.093304,4.975448,0.682105,6.207812
0.020000,6.641043,16.366356,1.163752,3.193095,4.989547,0.704973,6.205746
0.020000,6.706703,16.361192,1.229616,3.293176,5.004083,0.726821,6.203684
0.020000,6.774354,16.355732,1.297487,3.393557,5.019055,0.748586,6.201632
0.020000,6.844001,16.349968,1.367372,3.494247,5.034478,0.771139,6.199595
0.020000,6.915649,16.343892,1.439277,3.595254,5.050333,0.792754,6.197581
0.020000,6.989304,16.337497,1.513209,3.696586,5.066623,0.814509,6.195596
0.020000,7.064971,16.330777,1.589174,3.798253,5.083350,0.836365,6.193646
0.020000,7.142657,16.323727,1.667179,3.900263,5.100507,0.857842,6.191739
0.020000,7.222368,16.316342,1.747231,4.002625,5.118096,0.879434,6.189881
0.020000,7.304111,16.308618,1.829338,4.105347,5.136113,0.900845,6.188080
0.020000,7.387892,16.300552,1.913507,4.208439,5.154558,0.922278,6.186343
0.020000,7.473719,16.292141,1.999745,4.311907,5.173428,0.943504,6.184677
0.020000,7.561600,16.283385,2.088061,4.415762,5.192724,0.964771,6.183090
0.020000,7.651540,16.274283,2.178461,4.520011,5.212450,0.986328,6.181591
0.020000,7.743550,16.264837,2.270954,4.624663,5.232597,1.007308,6.180187
0.020000,7.837637,16.255049,2.365549,4.729726,5.253172,1.028789,6.178887
0.020000,7.933809,16.244922,2.462253,4.835210,5.274176,1.050197,6.177698
0.020000,8.032077,16.234464,2.561075,4.941122,5.295608,1.071565,6.176629
0.020000,8.132448,16.223679,2.662025,5.047471,5.317470,1.093115,6.175690
0.020000,8.234934,16.212576,2.765110,5.154267,5.339771,1.115065,6.174889
0.020000,8.339544,16.201167,2.870340,5.261517,5.362503,1.136610,6.174235
0.020000,8.446289,16.189463,2.977725,5.369230,5.385680,1.158842,6.173738
0.020000,8.555180,16.177477,3.087273,5.477416,5.409299,1.180924,6.173406
0.020000,8.666228,16.165227,3.198995,5.586083,5.433367,1.203410,6.173250
0.020000,8.779445,16.152730,3.312900,5.695241,5.457886,1.225942,6.173280
0.020000,8.894844,16.140007,3.428998,5.804898,5.482861,1.248735,6.173505
0.020000,9.012437,16.127080,3.547299,5.915064,5.508293,1.271628,6.173935
0.020000,9.132237,16.113977,3.667814,6.025748,5.534188,1.294728,6.174581
0.020000,9.254259,16.100724,3.790553,6.136959,5.560542,1.317741,6.175453
0.020000,9.378515,16.087353,3.915527,6.248706,5.587359,1.340829,6.176563
0.020000,9.505022,16.073898,4.042747,6.360999,5.614639,1.363989,6.177920
0.020000,9.633793,16.060395,4.172224,6.473846,5.642367,1.386398,6.179537
0.020000,9.764843,16.046885,4.303969,6.587257,5.670546,1.408976,6.181424
0.020000,9.898189,16.033412,4.437994,6.701240,5.699157,1.430520,6.183593
0.020000,10.033846,16.020023,4.574310,6.815804,5.728188,1.451584,6.186056
0.020000,10.171830,16.006768,4.712929,6.930956,5.757610,1.471061,6.188824
0.020000,10.312157,15.993702,4.853863,7.046704,5.787401,1.489589,6.191909
0.020000,10.454844,15.980884,4.997124,7.163055,5.817518,1.505824,6.195323
0.020000,10.599906,15.968377,5.142725,7.280013,5.847917,1.519943,6.199078
0.020000,10.747359,15.956247,5.290676,7.397584,5.878540,1.531173,6.203187
0.020000,10.897220,15.944566,5.440992,7.515770,5.909318,1.538903,6.207662
0.020000,11.039949,15.934046,5.584107,7.155784,-17.999281,-1195.429950,6.211311
0.020000,11.192815,15.923304,5.737351,7.662177,25.319620,2165.945044,6.214719
0.020000,11.347615,15.912948,5.892496,7.757264,4.754334,-1028.264304,6.218030
0.020000,11.504339,15.902976,6.049537,7.852059,4.739754,-0.729019,6.221239
0.020000,11.662980,15.893385,6.208469,7.946560,4.725053,-0.735034,6.224341
0.020000,11.823531,15.884170,6.369284,8.040763,4.710186,-0.743334,6.227329
0.020000,11.985954,15.875324,6.531947,8.133173,4.620469,-4.485875,6.230197
0.020000,12.150181,15.866841,6.696393,8.222298,4.456245,-8.211189,6.232937
0.020000,12.316145,15.858714,6.862556,8.308147,4.292487,-8.187882,6.235544
0.020000,12.483779,15.850931,7.030371,8.390732,4.129207,-8.164010,6.238010
0.020000,12.653017,15.843480,7.199772,8.470060,3.966422,-8.139261,6.240329
0.020000,12.823790,15.836344,7.370695,8.546143,3.804143,-8.113975,6.242495
0.020000,12.996035,15.829507,7.543075,8.618991,3.642384,-8.087936,6.244503
0.020000,13.169683,15.822950,7.716847,8.688614,3.481155,-8.061458,6.246345
0.020000,13.344670,15.816650,7.891947,8.755023,3.320460,-8.034751,6.248018
0.020000,13.520930,15.810583,8.068312,8.818229,3.160314,-8.007259,6.249515
0.020000,13.698399,15.804725,8.245877,8.878244,3.000725,-7.979488,6.250831
0.020000,13.877010,15.799049,8.424578,8.935078,2.841694,-7.951513,6.251962
0.020000,14.056700,15.793524,8.604353,8.988742,2.683229,-7.923271,6.252903
0.020000,14.237404,15.788121,8.785138,9.039249,2.525346,-7.894146,6.253650
0.020000,14.419059,15.782807,8.966870,9.086610,2.368034,-7.865610,6.254198
