dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.871096,23.631555,0.000029,0.002941,0.147031,7.351554,4.204989
0.020000,24.871089,23.631542,0.000044,0.000745,-0.109798,-12.841473,4.204974
0.020000,24.871073,23.631513,0.000078,0.001676,0.046543,7.817089,4.204941
0.020000,24.871044,23.631461,0.000137,0.002979,0.065168,0.931222,4.204881
0.020000,24.870999,23.631379,0.000230,0.004655,0.083803,0.931764,4.204788
0.020000,24.870934,23.631262,0.000365,0.006704,0.102456,0.932652,4.204654
0.020000,24.870845,23.631103,0.000547,0.009127,0.121136,0.933973,4.204472
0.020000,24.870729,23.630894,0.000786,0.011924,0.139852,0.935812,4.204233
0.020000,24.870582,23.630631,0.001088,0.015096,0.158617,0.938255,4.203931
0.020000,24.870400,23.630305,0.001460,0.018645,0.177445,0.941389,4.203558
0.020000,24.869368,23.628456,0.003578,0.105890,4.362261,209.240804,4.203107
0.020000,24.867039,23.624288,0.008352,0.238700,6.640500,113.911954,4.202569
0.020000,24.864305,23.619401,0.013953,0.280022,2.066070,-228.721498,4.201937
0.020000,24.861128,23.613732,0.020451,0.324915,2.244666,8.929784,4.201203
0.020000,24.857475,23.607227,0.027911,0.373023,2.405413,8.037362,4.200358
0.020000,24.853311,23.599827,0.036402,0.424546,2.576132,8.535974,4.199396
0.020000,24.848603,23.591478,0.045987,0.479244,2.734917,7.939225,4.198307
0.020000,24.843309,23.582118,0.056741,0.537692,2.922370,9.372657,4.197083
0.020000,24.837396,23.571694,0.068725,0.599186,3.074722,7.617579,4.195715
0.020000,24.830826,23.560151,0.082007,0.664124,3.246914,8.609639,4.194195
0.020000,24.823559,23.547430,0.096657,0.732493,3.418448,8.576686,4.192513
0.020000,24.815555,23.533477,0.112743,0.804276,3.589138,8.534507,4.190661
0.020000,24.806774,23.518237,0.130332,0.879452,3.758793,8.482749,4.188627
0.020000,24.797173,23.501656,0.149492,0.957996,3.927215,8.421098,4.186403
0.020000,24.786704,23.483674,0.170299,1.040357,4.118048,9.541628,4.183977
0.020000,24.775328,23.464246,0.192813,1.125703,4.267314,7.463298,4.181340
0.020000,24.762992,23.443310,0.217113,1.215008,4.465215,9.895065,4.178479
0.020000,24.749649,23.420820,0.243263,1.307517,4.625465,8.012515,4.175383
0.020000,24.735247,23.396722,0.271337,1.403680,4.808139,9.133700,4.172039
0.020000,24.719732,23.370965,0.301406,1.503462,4.989121,9.049097,4.168436
0.020000,24.703047,23.343499,0.333543,1.606825,5.168140,8.950946,4.164559
0.020000,24.685135,23.314277,0.367817,1.713724,5.344925,8.839238,4.160394
0.020000,24.665929,23.283247,0.404310,1.824662,5.546901,10.098783,4.155926
0.020000,24.645369,23.250368,0.443089,1.938910,5.712397,8.274824,4.151141
0.020000,24.623400,23.215622,0.484197,2.055419,5.825498,5.655024,4.146024
0.020000,24.599987,23.179021,0.527646,2.172445,5.851275,1.288850,4.140569
0.020000,24.575091,23.140580,0.573444,2.289913,5.873390,1.105789,4.134764
0.020000,24.548673,23.100319,0.621599,2.407750,5.891858,0.923404,4.128601
0.020000,24.520688,23.058254,0.672123,2.526172,5.921121,1.463150,4.122069
0.020000,24.491090,23.014408,0.725024,2.645075,5.945119,1.199899,4.115157
0.020000,24.459828,22.968798,0.780319,2.764738,5.983148,1.901428,4.107853
0.020000,24.426851,22.921452,0.838018,2.884938,6.010025,1.343858,4.100145
0.020000,24.392103,22.872396,0.898133,3.005797,6.042929,1.645215,4.092021
0.020000,24.355528,22.821664,0.960675,3.127091,6.064700,1.088555,4.083467
0.020000,24.317061,22.769282,1.025664,3.249433,6.117104,2.620169,4.074469
0.020000,24.276641,22.715292,1.093108,3.372222,6.139448,1.117212,4.065013
0.020000,24.234200,22.659732,1.163024,3.495786,6.178213,1.938257,4.055086
0.020000,24.189666,22.602646,1.235426,3.620072,6.214311,1.804872,4.044671
0.020000,24.142965,22.544080,1.310332,3.745317,6.262248,2.396844,4.033753
0.020000,24.094022,22.484091,1.387754,3.871081,6.288187,1.296987,4.022319
0.020000,24.042757,22.422736,1.467707,3.997690,6.330441,2.112671,4.010352
0.020000,23.989088,22.360078,1.550208,4.125052,6.368106,1.883285,3.997837
0.020000,23.932931,22.296189,1.635270,4.253061,6.400445,1.616952,3.984760
0.020000,23.874197,22.231142,1.722910,4.381999,6.446884,2.321917,3.971106
0.020000,23.812800,22.165024,1.813138,4.511406,6.470387,1.175183,3.956863
0.020000,23.748652,22.097926,1.905966,4.641427,6.501053,1.533293,3.942018
0.020000,23.681660,22.029947,2.001408,4.772073,6.532306,1.562612,3.926561
0.020000,23.611736,21.961196,2.099469,4.903067,6.549699,0.869696,3.910483
0.020000,23.538791,21.891788,2.200159,5.034504,6.571828,1.106451,3.893776
0.020000,23.462738,21.821851,2.303480,5.166025,6.576038,0.210500,3.876437
0.020000,23.383492,21.751519,2.409435,5.297781,6.587788,0.587459,3.858464
0.020000,23.300976,21.680940,2.518019,5.429178,6.569866,-0.896061,3.839862
0.020000,23.215113,21.610266,2.629227,5.560389,6.560545,-0.466086,3.820635
0.020000,23.125837,21.539662,2.743048,5.691050,6.533086,-1.372931,3.800794
0.020000,23.033089,21.469302,2.859464,5.820804,6.487680,-2.270316,3.780358
0.020000,22.936819,21.399365,2.978456,5.949605,6.440029,-2.382530,3.759345
0.020000,22.836990,21.330040,3.099995,6.076945,6.367035,-3.649720,3.737785
0.020000,22.733577,21.261522,3.224047,6.202627,6.284094,-4.147061,3.715710
0.020000,22.626567,21.194008,3.350575,6.326404,6.188849,-4.762241,3.693160
0.020000,22.515965,21.127698,3.479531,6.447799,6.069744,-5.955232,3.670181
0.020000,22.401791,21.062795,3.610863,6.566605,5.940315,-6.471461,3.646826
0.020000,22.284081,20.999497,3.744514,6.682510,5.795240,-7.253721,3.623151
