dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.117393,24.593004,0.000029,0.002910,0.145520,7.275999,4.216808
0.020000,23.117400,24.593018,0.000044,0.000768,-0.107134,-12.632714,4.216792
0.020000,23.117417,24.593048,0.000079,0.001727,0.047985,7.755958,4.216758
0.020000,23.117446,24.593102,0.000140,0.003071,0.067187,0.960083,4.216696
0.020000,23.117492,24.593187,0.000236,0.004799,0.086400,0.960675,4.216600
0.020000,23.117557,24.593308,0.000375,0.006912,0.105633,0.961644,4.216462
0.020000,23.117647,24.593474,0.000563,0.009410,0.124895,0.963083,4.216274
0.020000,23.117764,24.593690,0.000809,0.012294,0.144196,0.965089,4.216028
0.020000,23.117912,24.593964,0.001120,0.015565,0.163551,0.967753,4.215717
0.020000,23.118096,24.594302,0.001504,0.019224,0.182975,0.971171,4.215332
0.020000,23.117670,24.593517,0.002397,0.044632,1.270398,54.371135,4.214867
0.020000,23.115933,24.590321,0.006035,0.181898,6.863303,279.645279,4.214312
0.020000,23.113893,24.586574,0.010301,0.213304,1.570284,-264.650976,4.213660
0.020000,23.111525,24.582230,0.015248,0.247363,1.702978,6.634733,4.212903
0.020000,23.108803,24.577247,0.020927,0.283907,1.827167,6.209443,4.212032
0.020000,23.105703,24.571582,0.027384,0.322885,1.948912,6.087223,4.211040
0.020000,23.102197,24.565194,0.034671,0.364333,2.072383,6.173587,4.209916
0.020000,23.098259,24.558038,0.042839,0.408416,2.204161,6.588873,4.208653
0.020000,23.093863,24.550076,0.051934,0.454762,2.317331,5.658520,4.207242
0.020000,23.088982,24.541265,0.062007,0.503611,2.442428,6.254825,4.205673
0.020000,23.083587,24.531566,0.073105,0.554928,2.565837,6.170473,4.203937
0.020000,23.077650,24.520938,0.085279,0.608673,2.687281,6.072199,4.202024
0.020000,23.071143,24.509343,0.098575,0.664803,2.806469,5.959398,4.199924
0.020000,23.064036,24.496745,0.113040,0.723265,2.923099,5.831515,4.197626
0.020000,23.056298,24.483104,0.128723,0.784137,3.043597,6.024883,4.195119
0.020000,23.047896,24.468384,0.145672,0.847444,3.165370,6.088649,4.192393
0.020000,23.038801,24.452552,0.163930,0.912905,3.273063,5.384633,4.189434
0.020000,23.028978,24.435576,0.183543,0.980663,3.387866,5.740155,4.186232
0.020000,23.018392,24.417420,0.204560,1.050871,3.510426,6.127996,4.182772
0.020000,23.007007,24.398055,0.227023,1.123144,3.613643,5.160885,4.179042
0.020000,22.994787,24.377453,0.250977,1.197678,3.726686,5.652147,4.175026
0.020000,22.981694,24.355585,0.276465,1.274411,3.836679,5.499606,4.170710
0.020000,22.967688,24.332431,0.303526,1.353057,3.932269,4.779537,4.166079
0.020000,22.952726,24.307961,0.332208,1.434066,4.050456,5.909347,4.161114
0.020000,22.936781,24.282181,0.362520,1.515640,4.078701,1.412253,4.155804
0.020000,22.919833,24.255113,0.394457,1.596819,4.058949,-0.987623,4.150138
0.020000,22.901862,24.226782,0.428007,1.677490,4.033563,-1.269308,4.144106
0.020000,22.882850,24.197216,0.463157,1.757542,4.002583,-1.549001,4.137698
0.020000,22.862773,24.166443,0.499900,1.837151,3.980460,-1.106120,4.130901
0.020000,22.841611,24.134498,0.538219,1.915951,3.939977,-2.024138,4.123703
