dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.408522,18.823553,0.000020,0.001969,0.098435,4.921774,0.001871
0.020000,5.408535,18.823553,0.000033,0.000645,-0.066210,-8.232260,0.001858
0.020000,5.408564,18.823553,0.000062,0.001450,0.040282,5.324568,0.001829
0.020000,5.408616,18.823553,0.000113,0.002578,0.056393,0.805553,0.001777
0.020000,5.408696,18.823554,0.000194,0.004028,0.072501,0.805431,0.001697
0.020000,5.408812,18.823554,0.000310,0.005800,0.088606,0.805231,0.001581
0.020000,5.408970,18.823554,0.000468,0.007894,0.104705,0.804934,0.001423
0.020000,5.409176,18.823554,0.000674,0.010310,0.120795,0.804518,0.001217
0.020000,5.409437,18.823555,0.000935,0.013048,0.136874,0.803962,0.000956
0.020000,5.409760,18.823555,0.001257,0.016106,0.152939,0.803246,0.000634
0.020000,5.410149,18.823555,0.001647,0.019486,0.168986,0.802346,0.000244
0.020000,5.411957,18.823555,0.003454,0.090385,3.544942,168.797783,6.282965
0.020000,5.415829,18.823553,0.007326,0.193597,5.160588,80.782293,6.282421
0.020000,5.420319,18.823548,0.011816,0.224480,1.544169,-180.820918,6.281790
0.020000,5.425472,18.823539,0.016970,0.257689,1.660463,5.814704,6.281066
0.020000,5.431337,18.823524,0.022834,0.293238,1.777443,5.848987,6.280241
0.020000,5.437956,18.823502,0.029454,0.330967,1.886417,5.448691,6.279311
0.020000,5.445379,18.823469,0.036876,0.371125,2.007933,6.075799,6.278267
0.020000,5.453648,18.823424,0.045145,0.413453,2.116389,5.422831,6.277105
0.020000,5.462809,18.823362,0.054307,0.458099,2.232278,5.794440,6.275818
0.020000,5.472911,18.823280,0.064409,0.505109,2.350505,5.911341,6.274398
0.020000,5.483997,18.823174,0.075496,0.554323,2.460731,5.511291,6.272840
0.020000,5.496113,18.823039,0.087613,0.605841,2.575865,5.756722,6.271138
0.020000,5.509305,18.822867,0.100806,0.659652,2.690589,5.736207,6.269285
0.020000,5.523619,18.822654,0.115121,0.715749,2.804846,5.712805,6.267274
0.020000,5.539099,18.822391,0.130603,0.774121,2.918575,5.686460,6.265100
0.020000,5.555791,18.822069,0.147298,0.834755,3.031717,5.657133,6.262756
0.020000,5.573742,18.821680,0.165253,0.897761,3.150272,5.927733,6.260236
0.020000,5.592995,18.821212,0.184512,0.962937,3.258830,5.427917,6.257534
0.020000,5.613596,18.820654,0.205121,1.030440,3.375149,5.815920,6.254644
0.020000,5.635589,18.819992,0.227124,1.100151,3.485518,5.518455,6.251559
0.020000,5.659021,18.819212,0.250569,1.172247,3.604816,5.964882,6.248275
0.020000,5.683935,18.818298,0.275499,1.246507,3.713005,5.409479,6.244784
0.020000,5.710374,18.817234,0.301960,1.323035,3.826411,5.670273,6.241081
0.020000,5.738383,18.815999,0.329996,1.401809,3.938690,5.613972,6.237162
0.020000,5.768005,18.814573,0.359653,1.482832,4.051153,5.623155,6.233019
0.020000,5.799285,18.812934,0.390975,1.566130,4.164914,5.688024,6.228649
