dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.410393,17.823555,0.000029,0.002904,0.145183,7.259146,0.001869
0.020000,5.410393,17.823555,0.000145,0.008711,0.290366,7.259146,0.001850
0.020000,5.410393,17.823555,0.000407,0.017422,0.435549,7.259146,0.001808
0.020000,5.410393,17.823555,0.000871,0.029037,0.580732,7.259146,0.001732
0.020000,5.410393,17.823555,0.001597,0.043555,0.725915,7.259146,0.001613
0.020000,5.410393,17.823555,0.002642,0.060977,0.871097,7.259146,0.001442
0.020000,5.410393,17.823555,0.004065,0.081302,1.016280,7.259146,0.001209
0.020000,5.410393,17.823555,0.005923,0.104532,1.161463,7.259146,0.000905
0.020000,5.410393,17.823555,0.008275,0.130665,1.306646,7.259146,0.000520
0.020000,5.410393,17.823555,0.011179,0.159701,1.451829,7.259146,0.000045
0.020000,5.413633,17.823554,0.014693,0.191641,1.597012,7.259146,6.282655
0.020000,5.417815,17.823551,0.018874,0.226485,1.742195,7.259146,6.281971
0.020000,5.422721,17.823543,0.023781,0.264233,1.887378,7.259146,6.281169
0.020000,5.428413,17.823528,0.029472,0.304884,2.032561,7.259146,6.280238
0.020000,5.434946,17.823506,0.036005,0.348439,2.177744,7.259146,6.279169
0.020000,5.442379,17.823471,0.043439,0.394898,2.322927,7.259146,6.277954
0.020000,5.450771,17.823422,0.051830,0.444260,2.468110,7.259146,6.276581
0.020000,5.460179,17.823352,0.061238,0.496526,2.613292,7.259146,6.275043
0.020000,5.470660,17.823258,0.071720,0.551695,2.758475,7.259146,6.273329
0.020000,5.482274,17.823133,0.083335,0.609768,2.903658,7.259146,6.271431
0.020000,5.495078,17.822969,0.096140,0.670745,3.048841,7.259146,6.269338
0.020000,5.509130,17.822758,0.110194,0.734626,3.194024,7.259146,6.267042
0.020000,5.524488,17.822491,0.125554,0.801410,3.339207,7.259146,6.264533
0.020000,5.541210,17.822156,0.142279,0.871097,3.484390,7.259146,6.261801
0.020000,5.559353,17.821741,0.160427,0.943689,3.629573,7.259146,6.258839
0.020000,5.578975,17.821232,0.180056,1.019184,3.774756,7.259146,6.255636
0.020000,5.600134,17.820612,0.201224,1.097583,3.919939,7.259146,6.252185
0.020000,5.622886,17.819864,0.223988,1.178885,4.065122,7.259146,6.248475
0.020000,5.647289,17.818968,0.248408,1.263091,4.210305,7.259146,6.244499
0.020000,5.673400,17.817902,0.274541,1.350201,4.355487,7.259146,6.240248
0.020000,5.701276,17.816641,0.302445,1.440215,4.500670,7.259146,6.235714
0.020000,5.730973,17.815159,0.332179,1.533132,4.645853,7.259146,6.230889
0.020000,5.762545,17.813425,0.363799,1.628952,4.791036,7.259146,6.225766
0.020000,5.796051,17.811407,0.397366,1.727677,4.936219,7.259146,6.220336
0.020000,5.831515,17.809073,0.432906,1.826401,4.936219,0.000000,6.214599
0.020000,5.868935,17.806389,0.470422,1.925125,4.936219,0.000000,6.208557
0.020000,5.908304,17.803320,0.509911,2.023850,4.936219,0.000000,6.202213
0.020000,5.949621,17.799829,0.551376,2.122574,4.936219,0.000000,6.195572
0.020000,5.992880,17.795878,0.594814,2.221299,4.936219,0.000000,6.188638
0.020000,6.038074,17.791427,0.640228,2.320023,4.936219,-0.000000,6.181417
0.020000,6.085198,17.786436,0.687615,2.418747,4.936219,0.000000,6.173913
0.020000,6.134245,17.780862,0.736978,2.517472,4.936219,0.000000,6.166133
0.020000,6.185205,17.774661,0.788314,2.616196,4.936219,0.000000,6.158085
0.020000,6.238071,17.767790,0.841625,2.714920,4.936219,0.000000,6.149777
0.020000,6.292834,17.760201,0.896911,2.813645,4.936219,-0.000000,6.141216
0.020000,6.349481,17.751850,0.954171,2.912369,4.936219,0.000000,6.132413
0.020000,6.408003,17.742688,1.013406,3.011094,4.936219,0.000000,6.123377
0.020000,6.468386,17.732668,1.074615,3.109818,4.936219,-0.000000,6.114121
0.020000,6.530617,17.721741,1.137798,3.208542,4.936219,0.000000,6.104656
0.020000,6.594683,17.709860,1.202957,3.307267,4.936219,-0.000000,6.094995
0.020000,6.660567,17.696976,1.270089,3.405991,4.936219,0.000000,6.085152
0.020000,6.728254,17.683040,1.339196,3.504716,4.936219,-0.000000,6.075143
0.020000,6.797727,17.668005,1.410278,3.603440,4.936219,0.000000,6.064982
0.020000,6.868968,17.651822,1.483334,3.702164,4.936219,-0.000000,6.054687
0.020000,6.941958,17.634445,1.558364,3.800889,4.936219,0.000000,6.044275
0.020000,7.016679,17.615829,1.635369,3.899613,4.936219,0.000000,6.033764
0.020000,7.093109,17.595927,1.714349,3.998337,4.936219,-0.000000,6.023174
0.020000,7.171229,17.574697,1.795303,4.097062,4.936219,0.000000,6.012525
0.020000,7.251018,17.552096,1.878231,4.195786,4.936219,-0.000000,6.001837
0.020000,7.332455,17.528085,1.963134,4.294511,4.936219,0.000000,5.991132
0.020000,7.415490,17.502634,2.049983,4.390331,4.791036,-7.259146,5.980435
0.020000,7.500046,17.475725,2.138719,4.483248,4.645853,-7.259146,5.969775
0.020000,7.586050,17.447345,2.229284,4.573262,4.500670,-7.259146,5.959180
0.020000,7.673425,17.417487,2.321620,4.660372,4.355487,-7.259146,5.948678
0.020000,7.762099,17.386147,2.415669,4.744578,4.210305,-7.259146,5.938298
0.020000,7.851999,17.353328,2.511374,4.825880,4.065122,-7.259146,5.928065
0.020000,7.943057,17.319035,2.608676,4.904279,3.919939,-7.259146,5.918007
0.020000,8.035204,17.283280,2.707516,4.979774,3.774756,-7.259146,5.908147
0.020000,8.128372,17.246079,2.807838,5.052365,3.629573,-7.259146,5.898509
0.020000,8.222499,17.207453,2.909582,5.122053,3.484390,-7.259146,5.889117
0.020000,8.317522,17.167428,3.012691,5.188837,3.339207,-7.259146,5.879992
0.020000,8.413381,17.126033,3.117106,5.252718,3.194024,-7.259146,5.871155
0.020000,8.510019,17.083302,3.222770,5.313695,3.048841,-7.259146,5.862625
0.020000,8.607381,17.039273,3.329625,5.371768,2.903658,-7.259146,5.854419
0.020000,8.705413,16.993988,3.437612,5.426937,2.758475,-7.259146,5.846556
0.020000,8.804067,16.947493,3.546673,5.479203,2.613292,-7.259146,5.839049
0.020000,8.903294,16.899837,3.656751,5.528565,2.468110,-7.259146,5.831914
0.020000,9.003049,16.851073,3.767787,5.575024,2.322927,-7.259146,5.825164
0.020000,9.103287,16.801255,3.879723,5.618579,2.177744,-7.259146,5.818811
0.020000,9.203970,16.750443,3.992501,5.659230,2.032561,-7.259146,5.812866
0.020000,9.305057,16.698697,4.106063,5.696978,1.887378,-7.259146,5.807339
0.020000,9.406512,16.646079,4.220351,5.731821,1.742195,-7.259146,5.802238
0.020000,9.508301,16.592657,4.335307,5.763762,1.597012,-7.259146,5.797573
0.020000,9.610389,16.538497,4.450873,5.792798,1.451829,-7.259146,5.793349
0.020000,9.712747,16.483669,4.566990,5.818931,1.306646,-7.259146,5.789574
0.020000,9.815344,16.428243,4.683601,5.842160,1.161463,-7.259146,5.786253
0.020000,9.918151,16.372292,4.800647,5.862486,1.016280,-7.259146,5.783391
0.020000,10.021142,16.315890,4.918071,5.879908,0.871097,-7.259146,5.780991
0.020000,10.124290,16.259110,5.035815,5.894426,0.725915,-7.259146,5.779059
0.020000,10.227571,16.202029,5.153819,5.906041,0.580732,-7.259146,5.777595
0.020000,10.330959,16.144723,5.272027,5.914752,0.435549,-7.259146,5.776604
0.020000,10.434431,16.087268,5.390380,5.920559,0.290366,-7.259146,5.776086
0.020000,10.537952,16.029748,5.508808,5.922208,0.082458,-10.395371,5.776042
0.020000,10.641462,15.972260,5.627211,5.918050,-0.207907,-14.518291,5.776474
0.020000,10.744912,15.914896,5.745501,5.910988,-0.353090,-7.259146,5.777380
0.020000,10.848279,15.857733,5.863621,5.901023,-0.498273,-7.259146,5.778759
0.020000,10.951538,15.800847,5.981513,5.888154,-0.643456,-7.259146,5.780608
0.020000,11.054664,15.744313,6.099118,5.872381,-0.788639,-7.259146,5.782926
0.020000,11.157631,15.688208,6.216379,5.853705,-0.933822,-7.259146,5.785709
0.020000,11.260413,15.632605,6.333237,5.832125,-1.079005,-7.259146,5.788954
0.020000,11.362982,15.577577,6.449635,5.807641,-1.224188,-7.259146,5.792656
0.020000,11.465308,15.523195,6.565514,5.780253,-1.369371,-7.259146,5.796809
0.020000,11.567360,15.469531,6.680816,5.749962,-1.514554,-7.259146,5.801409
0.020000,11.669107,15.416651,6.795483,5.716768,-1.659737,-7.259146,5.806447
0.020000,11.770513,15.364624,6.909458,5.680669,-1.804919,-7.259146,5.811917
0.020000,11.871543,15.313512,7.022681,5.641667,-1.950102,-7.259146,5.817810
0.020000,11.972159,15.263379,7.135095,5.599761,-2.095285,-7.259146,5.824117
0.020000,12.072320,15.214283,7.246642,5.554952,-2.240468,-7.259146,5.830827
0.020000,12.171985,15.166281,7.357264,5.507239,-2.385651,-7.259146,5.837927
0.020000,12.271108,15.119428,7.466903,5.456622,-2.530834,-7.259146,5.845407
0.020000,12.369642,15.073773,7.575500,5.403102,-2.676017,-7.259146,5.853251
0.020000,12.467537,15.029364,7.682998,5.346678,-2.821200,-7.259146,5.861445
0.020000,12.564743,14.986244,7.789338,5.287350,-2.966383,-7.259146,5.869972
0.020000,12.661204,14.944454,7.894463,5.225119,-3.111566,-7.259146,5.878814
0.020000,12.756863,14.904029,7.998314,5.159984,-3.256749,-7.259146,5.887954
0.020000,12.851662,14.864999,8.100833,5.091945,-3.401932,-7.259146,5.897369
0.020000,12.945539,14.827393,8.201963,5.021003,-3.547114,-7.259146,5.907040
0.020000,13.038430,14.791233,8.301644,4.947157,-3.692297,-7.259146,5.916944
0.020000,13.130270,14.756537,8.399820,4.870408,-3.837480,-7.259146,5.927057
