dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.412263,16.823557,0.000029,0.002904,0.145183,7.259146,0.001869
0.020000,5.412244,16.823557,0.000048,0.000951,-0.097653,-12.141800,0.001850
0.020000,5.412201,16.823557,0.000091,0.002139,0.059411,7.853207,0.001808
0.020000,5.412125,16.823557,0.000167,0.003802,0.083172,1.188048,0.001732
0.020000,5.412006,16.823556,0.000286,0.005941,0.106928,1.187783,0.001613
0.020000,5.411835,16.823556,0.000457,0.008554,0.130675,1.187348,0.001442
0.020000,5.411602,16.823556,0.000690,0.011642,0.154409,1.186698,0.001209
0.020000,5.411298,16.823555,0.000994,0.015205,0.178124,1.185790,0.000905
0.020000,5.410913,16.823555,0.001379,0.019241,0.201816,1.184575,0.000520
0.020000,5.410438,16.823555,0.001854,0.023751,0.225476,1.183004,0.000045
0.020000,5.413103,16.823554,0.004519,0.133267,5.475812,262.516797,6.282655
0.020000,5.416601,16.823551,0.008016,0.174871,2.080188,-169.781196,6.281971
0.020000,5.420705,16.823545,0.012120,0.205203,1.516590,-28.179878,6.281169
0.020000,5.425466,16.823533,0.016881,0.238043,1.642028,6.271889,6.280238
0.020000,5.430930,16.823514,0.022346,0.273217,1.758705,5.833851,6.279169
0.020000,5.437148,16.823485,0.028563,0.310891,1.883703,6.249908,6.277954
0.020000,5.444167,16.823443,0.035583,0.350979,2.004374,6.033549,6.276581
0.020000,5.452037,16.823385,0.043452,0.393475,2.124789,6.020728,6.275043
0.020000,5.460805,16.823307,0.052221,0.438418,2.247159,6.118518,6.273329
0.020000,5.470520,16.823202,0.061937,0.485802,2.369216,6.102811,6.271431
0.020000,5.481232,16.823064,0.072649,0.535620,2.490912,6.084844,6.269338
0.020000,5.492988,16.822888,0.084407,0.587865,2.612209,6.064837,6.267042
0.020000,5.505836,16.822665,0.097257,0.642526,2.733071,6.043077,6.264533
0.020000,5.519828,16.822384,0.111252,0.699728,2.860099,6.351435,6.261801
0.020000,5.535009,16.822037,0.126437,0.759248,2.976009,5.795496,6.258839
0.020000,5.551430,16.821611,0.142863,0.821325,3.103825,6.390810,6.255636
0.020000,5.569138,16.821093,0.160579,0.885809,3.224225,6.019968,6.252185
0.020000,5.588183,16.820467,0.179634,0.952757,3.347386,6.158081,6.248475
0.020000,5.608613,16.819717,0.200078,1.022176,3.470979,6.179623,6.244499
0.020000,5.630477,16.818824,0.221960,1.094095,3.595933,6.247692,6.240248
0.020000,5.653823,16.817768,0.245330,1.168521,3.721311,6.268894,6.235714
0.020000,5.678701,16.816526,0.270239,1.245414,3.844614,6.165167,6.230889
0.020000,5.705158,16.815073,0.296735,1.324843,3.971493,6.343940,6.225766
0.020000,5.733244,16.813382,0.324872,1.406841,4.099868,6.418766,6.220336
0.020000,5.762983,16.811425,0.354676,1.490186,4.167246,3.368918,6.214599
0.020000,5.794375,16.809173,0.386149,1.573660,4.173722,0.323766,6.208557
0.020000,5.827421,16.806596,0.419295,1.657286,4.181294,0.378632,6.202213
0.020000,5.862121,16.803665,0.454118,1.741166,4.194008,0.635677,6.195572
0.020000,5.898474,16.800344,0.490623,1.825241,4.203723,0.485743,6.188638
0.020000,5.936482,16.796601,0.528814,1.909565,4.216218,0.624755,6.181417
0.020000,5.976143,16.792400,0.568698,1.994176,4.230558,0.717023,6.173913
0.020000,6.017460,16.787705,0.610281,2.079148,4.248610,0.902587,6.166133
0.020000,6.060431,16.782476,0.653569,2.164413,4.263235,0.731242,6.158085
0.020000,6.105058,16.776675,0.698571,2.250110,4.284842,1.080353,6.149777
